tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
106529669,106529670,102,d19dffeb6e1fa56f750c077487481a6855ce4187,java,ok,4,java-maven,junit,true,false,1,0,1,0,,,,"",5.52,
106529669,106529672,102,d19dffeb6e1fa56f750c077487481a6855ce4187,java,broken,4,java-maven,junit,true,false,0,0,0,0,,,,"",0,
111552649,111552650,103,d19dffeb6e1fa56f750c077487481a6855ce4187,java,ok,4,java-maven,junit,true,false,1,0,1,0,,,,"",5.47,
111552649,111552651,103,d19dffeb6e1fa56f750c077487481a6855ce4187,java,broken,4,java-maven,junit,true,false,0,0,0,0,,,,"",0,
140790528,140790529,104,5ea4bfc2b2e1438e39ba9bbdbf3ef5aaab03b74b,java,ok,5,java-maven,junit,true,false,1,0,1,0,,,,"",6.8,
140790528,140790530,104,5ea4bfc2b2e1438e39ba9bbdbf3ef5aaab03b74b,java,broken,5,java-maven,junit,true,false,0,0,0,0,,,,"",0,
145630454,145630455,105,1c0af073d982a47f7a641b5d019f85598000134f,java,ok,4,java-maven,junit,true,false,1,0,1,0,,,,"",6.38,
145630454,145630459,105,1c0af073d982a47f7a641b5d019f85598000134f,java,broken,5,java-maven,junit,true,false,0,0,0,0,,,,"",0,
147190523,147190530,106,599585beb33c89d4da875978cff7792ee4e783f4,java,ok,4,java-maven,junit,true,false,1,0,1,0,,,,"",6.55,
147190523,147190533,106,599585beb33c89d4da875978cff7792ee4e783f4,java,broken,4,java-maven,junit,true,false,0,0,0,0,,,,"",0,
147432593,147432624,107,5d107432c00a9c3cf08927804f520db38353b0c3,java,ok,4,java-maven,junit,true,false,1,0,1,0,,,,"",6.75,
147432593,147432640,107,5d107432c00a9c3cf08927804f520db38353b0c3,java,broken,4,java-maven,junit,true,false,0,0,0,0,,,,"",0,
147433535,147433537,108,029f21839840cd13563bc29c461d754fb3c0ca24,java,ok,4,java-maven,junit,true,false,1,0,1,0,,,,"",6.73,
147433535,147433540,108,029f21839840cd13563bc29c461d754fb3c0ca24,java,broken,4,java-maven,junit,true,false,0,0,0,0,,,,"",0,
147525833,147525849,109,051fb7ef7ccb0c93db4da8cede384ce2070e5b60,java,ok,5,java-maven,junit,true,false,1,0,1,0,,,,"",6.76,
147525833,147525856,109,051fb7ef7ccb0c93db4da8cede384ce2070e5b60,java,broken,5,java-maven,junit,true,false,0,0,0,0,,,,"",0,
20607688,20607689,10,5f183b910e8e98c5ac4760227974a897d386abc6,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.15,
20607688,20607690,10,5f183b910e8e98c5ac4760227974a897d386abc6,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.15,
148951626,148951627,110,4a6cb9854fb133b86c76d3755fd9f13a9204220c,java,ok,4,java-maven,junit,true,false,1,0,1,0,,,,"",6.22,
148951626,148951628,110,4a6cb9854fb133b86c76d3755fd9f13a9204220c,java,broken,4,java-maven,junit,true,false,0,0,0,0,,,,"",0,
148952176,148952178,111,fd98db672f47cab8d0f119b7933eb408f704653f,java,ok,149,java-maven,junit,true,false,1,0,1,0,,,,"",7.12,
148952176,148952179,111,fd98db672f47cab8d0f119b7933eb408f704653f,java,broken,133,java-maven,junit,true,false,0,0,0,0,,,,"",0,
148952630,148952631,112,2d859364c1c5a236a453eab8e4c17f0bf1647cd2,java,ok,7,java-maven,junit,true,false,1,0,1,0,,,,"",6.61,
148952630,148952633,112,2d859364c1c5a236a453eab8e4c17f0bf1647cd2,java,broken,9,java-maven,junit,true,false,0,0,0,0,,,,"",0,
148953153,148953154,112,5d1f2c1e9aafdc5458dbe27799411691c5eab72b,java,ok,4,java-maven,junit,true,false,1,0,1,0,,,,"",6.57,
148953153,148953155,112,5d1f2c1e9aafdc5458dbe27799411691c5eab72b,java,broken,4,java-maven,junit,true,false,0,0,0,0,,,,"",0,
148952913,148952914,113,4307c8a52baf3da8d5bbf8c5a91b852925178ef7,java,ok,4,java-maven,junit,true,false,1,0,1,0,,,,"",7.97,
148952913,148952915,113,4307c8a52baf3da8d5bbf8c5a91b852925178ef7,java,broken,6,java-maven,junit,true,false,0,0,0,0,,,,"",0,
20607765,20607766,11,5f183b910e8e98c5ac4760227974a897d386abc6,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.18,
20607765,20607767,11,5f183b910e8e98c5ac4760227974a897d386abc6,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.15,
20641628,20641629,12,b09fe8d083e1a6e3ab72653f7a5094521a766832,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.13,
20641628,20641630,12,b09fe8d083e1a6e3ab72653f7a5094521a766832,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.15,
20641786,20641787,13,5f399a52c8bf5626b098629906f82be1763089f4,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.16,
20641786,20641788,13,5f399a52c8bf5626b098629906f82be1763089f4,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.13,
22510666,22510667,14,cdc5a4e80f54838f4140816cfd772e11cc21606e,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.15,
22510666,22510668,14,cdc5a4e80f54838f4140816cfd772e11cc21606e,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.14,
26022317,26022318,15,99b92e2dca4685218f494c4264712e0188c63054,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.11,
26022317,26022319,15,99b92e2dca4685218f494c4264712e0188c63054,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.13,
28636430,28636431,16,6485b7a0497c83d5bfbf14b7d99ae9deedc0c2d1,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.17,
28636430,28636432,16,6485b7a0497c83d5bfbf14b7d99ae9deedc0c2d1,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.12,
29680942,29680943,17,a303ff08a8f83465a638317ce658146d9b21abe4,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.12,
29680942,29680944,17,a303ff08a8f83465a638317ce658146d9b21abe4,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.2,
30537053,30537054,18,2e3c658605bb167c452ff5fb9a3ccd1cb21fe547,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.13,
30537053,30537055,18,2e3c658605bb167c452ff5fb9a3ccd1cb21fe547,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.18,
30539232,30539233,19,77de767ce86d05415b489d8e4d164ff74e53eae4,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.18,
30539232,30539234,19,77de767ce86d05415b489d8e4d164ff74e53eae4,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.18,
19333618,19333619,1,666029e58b807f3af2c083316a4df794365c1145,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
31883803,31883804,20,5f2da4eee12f5dc3209ffab0d86c2e5e296639ad,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.13,
31883803,31883805,20,5f2da4eee12f5dc3209ffab0d86c2e5e296639ad,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.14,
31884124,31884125,21,f71d6cfe8a17aaf1a244f3ce06dc4751a6c9b1aa,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.15,
31884124,31884126,21,f71d6cfe8a17aaf1a244f3ce06dc4751a6c9b1aa,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.13,
31893482,31893483,22,19e6e9a3323d550cd481077c466cb03c73e975cf,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.15,
31893482,31893484,22,19e6e9a3323d550cd481077c466cb03c73e975cf,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.18,
31893834,31893835,23,47f8c4a7fe81eccc51dea538febd5e04c427d1ac,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.15,
31893834,31893836,23,47f8c4a7fe81eccc51dea538febd5e04c427d1ac,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.16,
32622522,32622523,24,f9d9b855619dfe7d33fba5b17a1a19619bf85f5e,java,ok,,java-maven,junit,true,false,1,0,1,0,,,,"",0.16,
