build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
148953153,5d1f2c1e9aafdc5458dbe27799411691c5eab72b,,master,failed,103,2016-08-01 18:24:04 UTC,148953154,148953155,push
148952913,4307c8a52baf3da8d5bbf8c5a91b852925178ef7,,master,failed,116,2016-08-01 18:23:26 UTC,148952914,148952915,push
148952630,2d859364c1c5a236a453eab8e4c17f0bf1647cd2,,master,failed,117,2016-08-01 18:21:36 UTC,148952631,148952633,push
148952176,fd98db672f47cab8d0f119b7933eb408f704653f,,master,failed,377,2016-08-01 18:19:14 UTC,148952178,148952179,push
148951626,4a6cb9854fb133b86c76d3755fd9f13a9204220c,,master,failed,110,2016-08-01 18:17:47 UTC,148951627,148951628,push
147525833,051fb7ef7ccb0c93db4da8cede384ce2070e5b60,,master,failed,118,2016-07-26 16:38:31 UTC,147525849,147525856,push
147433535,029f21839840cd13563bc29c461d754fb3c0ca24,266,master,failed,112,2016-07-26 10:50:15 UTC,147433537,147433540,pull_request
147432593,5d107432c00a9c3cf08927804f520db38353b0c3,266,master,failed,101,2016-07-26 10:46:02 UTC,147432624,147432640,pull_request
147190523,599585beb33c89d4da875978cff7792ee4e783f4,266,master,failed,122,2016-07-25 13:47:47 UTC,147190530,147190533,pull_request
145630454,1c0af073d982a47f7a641b5d019f85598000134f,263,master,failed,139,2016-07-18 19:07:45 UTC,145630455,145630459,pull_request
140790528,5ea4bfc2b2e1438e39ba9bbdbf3ef5aaab03b74b,260,master,failed,116,2016-06-28 12:37:43 UTC,140790529,140790530,pull_request
111552649,d19dffeb6e1fa56f750c077487481a6855ce4187,247,master,failed,116,2016-02-24 18:43:00 UTC,111552650,111552651,pull_request
106529669,d19dffeb6e1fa56f750c077487481a6855ce4187,247,master,failed,74,2016-02-02 17:44:32 UTC,106529670,106529672,pull_request
97752130,3924502b6e18fe8f399722fe8641f622b7b4e14b,242,master,failed,59,2015-12-18 20:53:04 UTC,97752131,97752132,pull_request
90912454,b24e4c1d4706a1efbff8fddfce8ee77a4ce950a7,239,master,passed,98,2015-11-13 10:15:38 UTC,90912457,90912460,pull_request
88351825,f24f222f6d2bc17be4136bb75fbe23102df2982b,236,master,passed,116,2015-10-30 14:35:50 UTC,88351838,88351849,pull_request
88349079,0c2223dfbcc040b7fea79af864d72a6f3a945097,235,master,passed,125,2015-10-30 14:24:09 UTC,88349080,88349081,pull_request
88336776,70dda117d58ef9f2a3898ad981d0f876bc1c7aa9,234,master,passed,125,2015-10-30 13:22:25 UTC,88336801,88336844,pull_request
88330653,d2bbc97e4f808ba35449bfcb106e5224879c438f,234,master,failed,93,2015-10-30 12:43:54 UTC,88330654,88330655,pull_request
88329956,88161c4b154d9e7cc1612f74fa8ca7e2fd086c1b,234,master,errored,21,2015-10-30 12:38:28 UTC,88329957,88329958,pull_request
87503604,6f865ccdea3b63c10de92ca232686bb86cfb8d47,,master,passed,100,2015-10-26 17:37:18 UTC,87503605,87503606,push
87492056,6ee55f07bbff06aed723cd6e31a833a6335647cd,,master,passed,89,2015-10-26 17:38:04 UTC,87492057,87492063,push
86126902,026383f0d0a26fe07abaf43b4be63c0ddd8f9381,232,master,errored,83,2015-10-19 05:47:57 UTC,86126903,86126904,pull_request
78151825,7391ce0a5e7b1fbd1ac1fb2f72525c62bc56531a,221,master,errored,81,2015-09-01 01:45:30 UTC,78151826,78151827,pull_request
77685673,6e9ce2e9b516940dc551847f188818563409e340,,master,errored,93,2015-08-28 14:30:58 UTC,77685674,77685675,push
71725672,10d080f646bd824dba33b3a426bb9c27bbbb758c,,master,passed,92,2015-07-20 10:17:13 UTC,71725673,71725674,push
71725650,2f30516c6f9be20d8f2177e97d245079e4dbe1c2,218,master,errored,11,2015-07-20 10:16:55 UTC,71725652,71725654,pull_request
71720534,c41f68d3402f9b19cae754b765a0359ddad4c2aa,,contributor-code-of-conduct,passed,76,2015-07-20 06:36:48 UTC,71720535,71720536,push
71720531,2f30516c6f9be20d8f2177e97d245079e4dbe1c2,218,master,passed,77,2015-07-20 06:46:08 UTC,71720532,71720533,pull_request
71719365,fb7a3c9fc0990a5a2578e458db39a63c5b4ae7a9,218,master,passed,77,2015-07-20 06:26:09 UTC,71719366,71719367,pull_request
71718962,837c5d50361ba407022e956519c2d32cfb824775,,contributor-code-of-conduct,passed,96,2015-07-20 06:23:15 UTC,71718963,71718965,push
64135890,17e0efa06e71d80b09dc8fa374c060df713e3fae,212,master,failed,61,2015-07-16 08:52:19 UTC,64135891,64135892,pull_request
64100135,ab20fa044ab545a69c98ef3c7bf599047844ca4b,211,master,passed,116,2015-05-26 14:25:19 UTC,64100136,64100137,pull_request
64099949,3a270fed58f17bb7b6cd99a5c8e39d06c10fdb34,211,master,passed,103,2015-05-26 14:23:38 UTC,64099950,64099951,pull_request
64097498,a80f2885d17e46450aa3b833edeaa4a1114190a8,211,master,failed,108,2015-05-26 14:06:29 UTC,64097499,64097500,pull_request
64096819,301d500de8bf82c789cf93bdc01a286bf70d9491,,master,passed,131,2015-05-26 14:19:26 UTC,64096821,64096823,push
64094431,e4331209bafbf19c72fe1dd8acb9479b007af068,191,master,passed,102,2015-05-26 13:58:06 UTC,64094432,64094433,pull_request
64094249,e2fd1ae5766fcaae5c55c1e0ca8acaa290ab2abc,,master,passed,129,2015-05-26 13:43:55 UTC,64094250,64094251,push
63223393,c92f85dfa547c3d1ff2338525c9ddd6d8d4dbb69,209,master,passed,77,2015-05-26 14:05:34 UTC,63223396,63223401,pull_request
63217261,ce868ae30006c22539c73868eabb793201962e1f,208,master,passed,88,2015-05-19 18:43:20 UTC,63217262,63217265,pull_request
63001301,9bd82fa24507997698892feca5db8a9f52503832,191,master,failed,75,2015-05-18 11:17:33 UTC,63001302,63001304,pull_request
62840822,5e7262a505debaf62976920006d426dc3f91ac76,191,master,passed,59,2015-05-16 18:31:01 UTC,62840823,62840824,pull_request
62839794,114832033c7c7777922693f2a6857c0743a93a55,191,master,passed,68,2015-05-16 18:13:34 UTC,62839795,62839796,pull_request
62837978,ad4b9a5ee5728fc729038ab46f8e0642805e4f51,,master,passed,72,2015-05-16 17:48:26 UTC,62837979,62837980,push
62274978,5381d98a198fe24352d0b792cc6360b69f5822e2,202,master,passed,97,2015-05-12 17:51:01 UTC,62274979,62274982,pull_request
62227018,985fbede76b97d10ab107050d4a6d5975a00427c,200,master,passed,65,2015-05-12 12:26:14 UTC,62227019,62227020,pull_request
59544101,ab203080065bbb2a38e33863a09531f3c2407ac2,191,master,passed,62,2015-04-22 12:31:45 UTC,59544103,59544105,pull_request
59132603,00097ff1aae1045448811ebbe9a51429e6831d25,,master,passed,69,2015-04-19 15:59:08 UTC,59132604,59132605,push
56393211,ccee75903d0f766b8cb1edb17c9fdccb65b958d9,,master,passed,58,2015-03-30 10:23:03 UTC,56393212,56393213,push
56392868,95a2a098be870deeb632a4f17c3d887b18030d32,187,master,passed,57,2015-03-30 10:19:44 UTC,56392869,56392870,pull_request
55323831,e8d6b85b4f5ae644f8559c3e97f343c193687d2f,185,master,passed,89,2015-03-21 21:46:11 UTC,55323832,55323833,pull_request
55323828,a85ca56edc657de9d195e391da94302628001d45,,feature/Dependency-injection,passed,67,2015-03-21 21:35:48 UTC,55323829,55323830,push
55323127,48e2081fa3a41282b7dc6bdc256418a60e54bd9e,185,master,errored,52,2015-03-21 21:30:28 UTC,55323128,55323129,pull_request
55323124,cec9d6aaca0aaab2ab604c5f92fcfe0fb05c593c,,feature/Dependency-injection,errored,57,2015-03-21 21:42:19 UTC,55323125,55323126,push
55322814,177782085cb86417cc70e74e31b24a34f98befd5,185,master,errored,33,2015-03-21 21:23:21 UTC,55322815,55322816,pull_request
55322807,1256892efe41395d06a265c20381de67b0bf2394,,feature/Dependency-injection,errored,32,2015-03-21 21:21:20 UTC,55322808,55322809,push
55322342,8c545e04b50156da3f8770416e2b7cae46c25218,185,master,failed,65,2015-03-21 21:14:24 UTC,55322343,55322344,pull_request
55322337,ab95ef6f72ebd6786b3b014584d0fc40ff223233,,feature/Dependency-injection,failed,58,2015-03-21 21:14:24 UTC,55322338,55322339,push
55322105,a20c950220fd01afec854f07450f02ccb4476ea5,185,master,failed,55,2015-03-21 21:10:27 UTC,55322106,55322107,pull_request
55320731,2c3bab751b38d7ab03d50f779a827d156c028655,,feature/Dependency-injection,failed,56,2015-03-21 20:49:11 UTC,55320732,55320733,push
55192235,023299c258637adf57793a03d145ad80d5b02599,184,master,errored,84,2015-03-20 16:00:56 UTC,55192236,55192237,pull_request
54348162,65d6fc644fe17faead54ccaabc90271b27423d2d,,master,passed,51,2015-03-14 10:01:49 UTC,54348163,54348164,push
54204433,d86dd5aaea1fb31acc8d6332446d42ae02df4453,182,master,passed,61,2015-03-13 06:42:29 UTC,54204434,54204435,pull_request
53714034,9e28a9c91b01729dd9ccc592074ddc5f08f8bf5f,181,master,errored,55,2015-03-09 21:32:09 UTC,53714035,53714036,pull_request
48407218,9fc116ee7a3d16fcd6687387d025c55cac0bc293,178,master,passed,71,2015-01-26 22:22:46 UTC,48407219,48407220,pull_request
47672381,f4ef0039ec7ddef60c31787c45dad29d72b120db,177,master,passed,65,2015-01-20 17:15:08 UTC,47672382,47672383,pull_request
47670338,7d6dab1520561733273293839c5dd5f1d5c86f73,177,master,errored,64,2015-01-20 16:57:10 UTC,47670339,47670340,pull_request
47353515,c2f4c6851e82f84fd8fd0521a370a4fe2ec3ec1e,176,master,passed,52,2015-01-17 15:21:29 UTC,47353516,47353517,pull_request
45666189,599c43eabf55654e5bb804d2a2fd73731c9f3f6f,172,master,passed,50,2015-01-02 09:59:51 UTC,45666190,45666191,pull_request
45666127,3848c8802b901d03d23273493460fef61c20f94a,171,master,passed,45,2015-01-02 09:58:41 UTC,45666128,45666129,pull_request
44798703,a7d1356b8ee1c93855e33df5d641565daa1f2d50,,master,passed,50,2014-12-22 08:13:13 UTC,44798704,44798705,push
44776485,51f72a4019316b05524282a8c707525eb722a123,168,master,passed,49,2014-12-22 00:13:33 UTC,44776486,44776487,pull_request
39297958,948dc48450976136bc4d2f4b2bb51c97e07a022c,164,master,passed,75,2014-10-28 18:16:30 UTC,39297959,39297960,pull_request
36981154,b9fcec5e2414e197f74158da05eaa2d8d561376f,160,master,passed,75,2014-10-03 16:03:57 UTC,36981155,36981156,pull_request
34887075,a26369b6d817cdeba0bf858247f02d1586166dfd,,master,passed,58,2014-09-10 07:36:41 UTC,34887076,34887077,push
34853527,db90de9c5e17fe1efb9130175ab6d7cc78f0c52c,158,master,passed,72,2014-09-09 20:46:58 UTC,34853528,34853529,pull_request
34261555,57b34d4aecde2216a6b10ab5b220f4db351d5016,155,master,passed,57,2014-09-03 07:10:31 UTC,34261556,34261557,pull_request
34261512,d6c4c1a7dccb836b6e95e489484998f9ae48166c,155,master,errored,76,2014-09-03 07:09:38 UTC,34261513,34261514,pull_request
34258253,e86685e756fe050bc88563b375e83b96b6bf2b8b,155,master,passed,80,2014-09-03 06:09:31 UTC,34258254,34258255,pull_request
34257285,2e6f59a0e021b8ee63a60e08207fd5c7080d2e65,155,master,passed,46,2014-09-03 05:46:58 UTC,34257286,34257287,pull_request
34250790,69bbc6e7f3e6d097925674b53b8ea0c7d697007a,155,master,errored,81,2014-09-03 03:24:39 UTC,34250791,34250792,pull_request
34202409,0bc5bf96ffb123f059fad80d8f47ce32b5380845,155,master,passed,63,2014-09-02 16:09:38 UTC,34202410,34202411,pull_request
34190263,5d6ba1cdbed4f84029d54507ca8651063afd2c6a,155,master,passed,78,2014-09-02 14:04:26 UTC,34190264,34190265,pull_request
34182105,80f27fc30ca84f451fcfa71f9efd3b235a09afe5,155,master,passed,84,2014-09-02 12:27:07 UTC,34182106,34182107,pull_request
33280455,60925e24f2326f37b4887701ec6efdd05648721f,,master,passed,59,2014-08-22 13:08:27 UTC,33280456,33280457,push
33280252,4e03f1fed91b37e45e1c5bfd4ac21bd2d0a64a96,154,master,passed,43,2014-08-22 13:05:18 UTC,33280253,33280254,pull_request
32661051,fad51cfe2a4c4979a8223d6d36de3f4a9d54215c,153,master,passed,63,2014-08-15 18:37:23 UTC,32661053,32661055,pull_request
32622685,a7ff0f93fd346814de6fbe9659fc7ab207b7c9ce,,master,passed,48,2014-08-15 10:15:23 UTC,32622686,32622687,push
32622522,f9d9b855619dfe7d33fba5b17a1a19619bf85f5e,152,master,passed,52,2014-08-15 10:12:16 UTC,32622523,32622524,pull_request
31893834,47f8c4a7fe81eccc51dea538febd5e04c427d1ac,,master,passed,60,2014-08-07 09:58:48 UTC,31893835,31893836,push
31893482,19e6e9a3323d550cd481077c466cb03c73e975cf,150,master,passed,53,2014-08-07 09:53:28 UTC,31893483,31893484,pull_request
31884124,f71d6cfe8a17aaf1a244f3ce06dc4751a6c9b1aa,,master,passed,42,2014-08-07 07:13:35 UTC,31884125,31884126,push
31883803,5f2da4eee12f5dc3209ffab0d86c2e5e296639ad,149,master,passed,42,2014-08-07 07:06:19 UTC,31883804,31883805,pull_request
30539232,77de767ce86d05415b489d8e4d164ff74e53eae4,,master,passed,69,2014-07-22 10:27:58 UTC,30539233,30539234,push
