tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
134943010,134943011,1000,95c558ee7e62bac487233526628844099b03c84b,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
135016939,135016940,1001,6fc37dcf64ff59cd7d5d3d2b8a59edf31829026f,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
135168144,135168145,1002,454bfadd208b1aa40954397744dbcf0975aec30b,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
135640903,135640904,1003,ff552f95562afbe7cc13e35a0f7d098f951bf870,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
135731052,135731053,1004,f8cfd5613f1b8724a49fc9b763ff7856d3a1ff4a,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
135733978,135733980,1005,b6ae642ed2528e53560e0ff480773b19866ced10,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
136826226,136826227,1006,4cc543904150796b821cc4bd162e2963bc776845,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
136832328,136832329,1007,d870fa22e48c38084bcf88dafb45b1f0b31207f1,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
136833737,136833738,1008,e51ee2a88ee2a644b5cbf7cb631b96cbdb2956ef,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
136922066,136922067,1009,148e8d44d5f5208263104a182d71350c59af65d0,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
46279006,46279007,100,da62eeb72544c73bc7f445b23ebda225eb52a85c,java,ok,0,java-gradle,"",false,,,0,,,,,,"",,
137120928,137120929,1010,d3cd11c1252cdd300e401e556d4620209c682d60,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
137121256,137121257,1011,eb7c24ab2cca909e14c9b57e2fc8d61b1b5b2b4c,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
137235071,137235072,1012,24f2649e21adc73e53cf92cbeb0d37583073f13d,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
137244089,137244090,1013,29b7e8626b20a5545b3b6f084399a1ae604aaef7,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
137250220,137250221,1014,fd42539a52d5fe075c7bf8cb48d356cc75c88ccb,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
137294202,137294203,1015,7b9c49e6e617d71c156558478cb77e69fbf7c4ff,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
137298904,137298906,1016,a6c6dac2a977bcb69c244f90180317aae59d3111,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
137310384,137310385,1017,7a685c791c639dfc7e05b6ebb90e33a3607dc292,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
137314853,137314854,1018,91f74da31668f4def6f73255ac66198af35ec8e9,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
137320185,137320186,1019,f5aa4a80d0bc65d5426e656dc7134c6e09877ba6,java,unknown,0,java-gradle,junit,true,false,,0,,,,,,"",,
46279194,46279195,101,60273ca17e246000671a1d8d3768488f93d60595,java,broken,0,java-gradle,"",false,,,0,,,,,,"",,
137323154,137323155,1020,59ecd26907351948de6000c27c9e344efbdabfd9,java,unknown,1,java-gradle,junit,true,false,,0,,,,,,"",,
137366122,137366123,1021,20987a3ae3beeacc00d0a98e10edaacf86d25551,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
137370860,137370861,1022,070206b2bc8b93cecfc851502380e308e0c983e3,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
