build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
156659693,12ad3e049f1bfa520cc39dd8a28806955fa0147d,,master,passed,666,2016-08-31 22:20:15 UTC,156659694,push
156652315,334c5945f194af3a7c08d17ed81a0c918eaedc24,1340,master,passed,680,2016-08-31 22:07:04 UTC,156652316,pull_request
155678881,736c44598afeab62dd723949f87d4b2073bdacb3,1336,master,passed,676,2016-08-28 04:19:43 UTC,155678882,pull_request
153423828,5ca732a4ae90cc003c0fde16a4a1223555247724,,master,failed,602,2016-08-18 22:36:48 UTC,153423829,push
153405461,68ecc5a03ae09470fc95426263789897c5601748,,v1.5.5,failed,598,2016-08-18 21:22:37 UTC,153405462,push
153399869,68ecc5a03ae09470fc95426263789897c5601748,,master,failed,687,2016-08-18 21:01:33 UTC,153399873,push
153389382,6a9afacd9e0d3cb9b1cd1ff85ef9ae25d9af3034,1324,master,failed,656,2016-08-18 20:24:54 UTC,153389383,pull_request
153385565,9b099eb37e261a2f4088309c9d1949e93639cf03,1323,master,passed,737,2016-08-18 20:24:33 UTC,153385566,pull_request
151762385,00d23cddec5044092cd477ff50a3b8bf6d3a2d51,1320,master,failed,625,2016-08-12 10:16:58 UTC,151762386,pull_request
150160861,90b032073dd01b0a3646b250d68e92208d7a110e,,master,failed,721,2016-08-05 21:14:20 UTC,150160862,push
150113423,f27c62c4edf37f29db4cbbca5a77d3c8cbf25364,,v1.5.4,passed,697,2016-08-05 17:32:09 UTC,150113424,push
149912018,f27c62c4edf37f29db4cbbca5a77d3c8cbf25364,,master,failed,636,2016-08-05 00:02:57 UTC,149912019,push
149732868,50c44e91a7682d3951332c0fbfdc2029052d5ed7,,master,failed,686,2016-08-04 11:30:46 UTC,149732869,push
149732825,951c66f2bd65a7666763ac980947ee6b5553896c,,master,failed,646,2016-08-04 11:30:33 UTC,149732826,push
149643763,402f1acf60cbff2c6eac5c9c17c63a7f849ecb44,,master,failed,577,2016-08-04 02:36:08 UTC,149643764,push
149643740,29ae64156f3ad46e95dccaa5f60edfa1a3a99cee,,master,failed,619,2016-08-04 02:35:56 UTC,149643741,push
149643736,78526d77e4a6122fc7c3e0d5af1fb9b2babcefa6,,master,passed,748,2016-08-04 02:35:50 UTC,149643737,push
149624487,b4d3a8dfb1458f7c251cf8bac7e7a9a8c99eb924,1310,master,passed,736,2016-08-04 02:45:52 UTC,149624488,pull_request
149624134,31e90b09b6530b1dfc7e021d5365c336a78644b5,1309,master,passed,680,2016-08-04 02:36:47 UTC,149624135,pull_request
149623571,dad00da100e8ec2e74c6b9e43dbc55ef740f9e73,1308,master,passed,727,2016-08-04 12:30:25 UTC,149623572,pull_request
149623221,53a933ae9f0fd732469ab89dd33d40333da4d379,1307,master,passed,825,2016-08-03 23:47:56 UTC,149623222,pull_request
149623056,8612356c63b23e2bbb38fbfe9dc4d4c04215bcc8,1306,master,passed,734,2016-08-03 23:46:13 UTC,149623057,pull_request
149622061,0fcd0025f5d013fbd2f10c234af3f7eb4fcfbcaf,1305,master,passed,759,2016-08-03 23:42:02 UTC,149622062,pull_request
149617602,0e2214125a1c665fed50f4e9aae08f3902c2fc5d,,master,passed,692,2016-08-03 23:12:34 UTC,149617603,push
149588215,d0af0b67eb7461456be1b37bc5a7b12d90ad7bc8,1304,master,passed,735,2016-08-03 22:46:18 UTC,149588216,pull_request
149565097,079fd7c35bdd3e422e53381a9e7f42802a5c3e0f,,master,passed,698,2016-08-03 19:28:14 UTC,149565098,push
149557694,fc491c33cba7b8682a236e8121f7532852b14e30,,master,passed,694,2016-08-03 18:56:13 UTC,149557695,push
149555178,3b238a57161b379d6d2679c7158bbcab73ead6dd,1303,master,passed,742,2016-08-03 19:14:30 UTC,149555179,pull_request
149552954,51c8411f9fcf95549355e25df4ccd91e09e88126,1302,master,passed,741,2016-08-03 18:36:00 UTC,149552955,pull_request
149547094,c873b7b7f3aac81c7a08ed405d36987bed371dda,,master,passed,747,2016-08-03 18:12:49 UTC,149547095,push
149533018,a16fb1b494fc283b2736238f6adaa40cc583bbe7,1300,master,passed,788,2016-08-03 17:57:17 UTC,149533019,pull_request
149339418,51b20d84b5c82ca566d6eedc6808cc4546822dda,1300,master,failed,658,2016-08-03 13:57:24 UTC,149339419,pull_request
149286664,da1198c580cbb95ec19fc87ef7be9ce4bce7d52e,,master,passed,983,2016-08-02 19:47:40 UTC,149286665,push
149265004,aec05b3bbc14b4aa86ff084350195acdd9292515,,master,failed,693,2016-08-02 18:17:22 UTC,149265005,push
149264512,ca41fbb77f5a3e6f4937e75f865f96147c60a2c7,,master,failed,628,2016-08-02 18:15:03 UTC,149264513,push
149255219,3f0f862c57534d930e19a6c0ee85e47c888b443a,1299,master,passed,749,2016-08-02 18:01:01 UTC,149255220,pull_request
149247097,993ca86dd2aebe0e373b6fe0369058c2fdb01e18,,master,failed,734,2016-08-02 17:07:08 UTC,149247098,push
149034399,158a802dc021cf1eab54cdeee34727608160698a,1297,master,passed,722,2016-08-01 22:31:28 UTC,149034400,pull_request
148307859,69231b0d8405789d5fc0631bd9ffd6eff3a64004,1295,master,failed,634,2016-07-29 13:18:41 UTC,148307860,pull_request
148269387,d5f4f2754e830bdb3ac04813408a1fcc2d14b049,1294,master,passed,716,2016-08-02 18:45:47 UTC,148269388,pull_request
147691867,cc718c393a42ca3cddd5afc493ed42b204d29fd9,1265,master,failed,695,2016-08-03 18:13:26 UTC,147691868,pull_request
147576494,bae4d9d49eebbba6332e23e93d0dafc3f56fed95,1265,master,failed,649,2016-07-26 20:05:12 UTC,147576495,pull_request
147516102,9fbbcba48a5c38f8cb858bf6748855f0aba36210,1265,master,failed,628,2016-07-26 16:01:51 UTC,147516103,pull_request
147514741,b612c3e318ba2aefbe2143d99941cd3af8bc9aee,1265,master,failed,590,2016-07-26 15:56:07 UTC,147514742,pull_request
147420165,ec80896ed7c5c50d59f5f435c62bd60302d107c5,1265,master,failed,661,2016-07-26 09:44:50 UTC,147420166,pull_request
147419684,767c14ed3f5c375e5ed098d3f8c38e05d6fab797,1265,master,failed,299,2016-07-26 09:41:55 UTC,147419685,pull_request
144641046,07d223f939a443750668b451d1a9e308fbbb4da9,1279,master,errored,936,2016-08-02 20:30:50 UTC,144641047,pull_request
144617390,022f8853fa3754e3bc9c33da94bfe49d0ea6a5e3,1279,master,errored,922,2016-07-14 03:06:52 UTC,144617391,pull_request
144581073,e336976b41a00db2ea9cda0f49b3c4b356c39480,,master,passed,754,2016-07-13 21:14:05 UTC,144581075,push
144564298,8e6830cf0ca746efcd4868d3415934b0779da477,,master,failed,624,2016-07-13 20:05:05 UTC,144564299,push
144543696,8f96fde5f446deec83e646253afe5dc6a0c46239,,master,failed,600,2016-07-13 18:39:33 UTC,144543698,push
