tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
113578216,113578217,10,c93b35005539f9d9b957fb42a9a2f8ab6d9672a4,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
113579472,113579473,11,22143e2dc669fdc2ed9ea51d92c3b98698fb106c,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
113579949,113579950,12,630929aa96511d0b61fab9e4f8c759a7a191d9d6,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
113730455,113730456,13,1ff6a4ae476bf412b10541ed3f03a6e567b18ceb,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
113733306,113733307,14,4fcf5b33130d101d7fad7af57bd427125e85cbca,java,broken,2,java-gradle,junit,true,false,,0,,,,,,"",,
113740325,113740326,15,903b1871f3eea409f094043248a90357b05892ca,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
113746290,113746291,16,d4dc34e081da2de0f47ff8562bc559e180051f69,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
113968566,113968567,17,584fb25687e35f0f8d4ccc7200be2f5507b012e7,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
113969434,113969435,18,c1a851be1f729b2a1c64bff3beba72dd3a4ab166,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
114162361,114162362,19,00ddf40e4ca9ceddc6560c640d1bdc724ccb3c5e,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
111087477,111087478,1,4e16e9ad860040e3ce21ef2106d72702db093779,java,unknown,1,java-gradle,"",false,,,0,,,,,,"",,
114386078,114386079,20,90f92f8080f4a6bbef9adb32b249b8bd5a476393,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
114388889,114388890,21,697fc366db3137202e2861ad8f36ca1819b55198,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
116126096,116126097,22,5c9481596c76103bc685334a43f57ae6e5754006,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
116181858,116181859,23,28db78d57f1ef075b602d9817d175864b416908c,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
116268218,116268219,24,4e2426d79a7482075ce3af3f23c89ce9274786b6,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
118199432,118199433,25,a3916db6ada6952afb6517314c3322d00e1ed018,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
118328427,118328428,26,06a2af5739a57b9f6f6bedfbc5639225f6328891,java,ok,8,java-gradle,junit,true,false,,0,,,,,,"",,
118407350,118407351,27,9a2fcf46a986d7cd03f402275dcd7e6ca2ad1a00,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
119474294,119474295,28,b25f363d98691b25d00ffe3cd12acea754473abb,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
119631736,119631737,29,79f5263660c9174635c1a2303f2ed9f73dfea496,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
111091563,111091564,2,72215eb6de4ed7c86e3b949c1b4be9b341a2862d,java,unknown,0,java-gradle,"",false,,,0,,,,,,"",,
128335495,128335496,30,f66b724eb60973078c7a59997873831695a1bf62,java,broken,0,java-gradle,junit,true,true,,0,,,,,,Gradle#suite,,
128337858,128337859,31,592678054d96203421e9b08d162f4a4e501c2b10,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
128344280,128344281,32,b56ddf1829e65d8d1d70a66c78b864a738ebc18d,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
128347833,128347834,33,39b5df6cfffc7b52b71a87b4f09da60b0b234da1,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
128400814,128400815,34,b609eeb70ce1e424b76fca0ebb18dc1e8d243800,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
128400936,128400937,35,5cdf80588e2cc77445a7c5c1d3d2cb443649dc78,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
128834568,128834569,36,b2b18b02128a3db25f1d00e8e752d905ca5b12c9,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
128889121,128889122,37,1aaaa6d9e4177449e1be28f512ccf54e8629ee03,java,ok,16,java-gradle,junit,true,false,,0,,,,,,"",,
130078666,130078667,38,1eb473628d536afe19d8aa42cb46805298bbfe77,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
130617378,130617379,39,af839cb284f496fb33480cb0994daa922ef5577a,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
111092275,111092276,3,cdad49b416201007cacfc119b5bfb154b96c03d3,java,unknown,0,java-gradle,"",false,,,0,,,,,,"",,
130925916,130925917,40,72351df63fa2e1387444d01124de72cab439b0d1,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
132976092,132976093,41,6d9f064757d57e59a3329e2acdc1dba17e118a85,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
133233440,133233441,42,2d263a73caabb6681e777d289366f0606f771a41,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
133528450,133528451,43,6869a54fc33a3e9d0e5b69bc8cba082a80e11c77,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
136287666,136287667,44,53748c952178c0faa0c1509925c752b3aa7f233d,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
136288500,136288502,45,19b450742704444cd3f8edd496ceb76233e25b10,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
137378920,137378921,46,a21ec60b4f7d24ce82e7233a4a1f5d7ce0440d1b,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
141178243,141178244,47,4d88aafcfaacf5692de036e81124dca863a3efbc,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
143446798,143446799,48,a21ec60b4f7d24ce82e7233a4a1f5d7ce0440d1b,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
143449448,143449449,49,a21ec60b4f7d24ce82e7233a4a1f5d7ce0440d1b,java,broken,2,java-gradle,junit,true,false,,0,,,,,,"",,
111092634,111092635,4,28d72938f1ae54ef66123b9b14306e44c7144552,java,unknown,0,java-gradle,"",false,,,0,,,,,,"",,
149317435,149317436,50,5deac20b9bda09faa9cfaa61a6b52933346b2cfa,java,ok,2,java-gradle,junit,true,false,,0,,,,,,"",,
151081339,151081340,51,0866a9a49734d8165a0244fce36b29d8665d78ba,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
