tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
64213992,64213993,1000,64819ef0373a6fbe409a809ed7ec672cd288a02b,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64220209,64220210,1001,bfea402549421b92a6e58204d08e4fd744ce2bba,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64220985,64220986,1002,11311061941487b8f08bb6a4156924e8b8f1fc3a,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64224368,64224369,1003,c36d5045b1a5249619165eddd0a081e5d5bfc3df,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64233915,64233916,1004,251afcada077f514861734dccf9b4eb12d50ae1e,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64234300,64234301,1005,06e9358e1f22d3e2fd4739eeb16e26e8dbc4710b,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64239339,64239341,1006,bb170b5a120367a47c682789bce443779283847f,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
64240641,64240642,1007,5abd974f72ec02044e914d6f8df2a0dec05620dc,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64259721,64259722,1008,96c903e37ce99fe404613dfc2451a81bd8af48fd,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
64302094,64302095,1009,7b9bc6df204d83cfbddd106a5f90e99856b41944,java,broken,0,java-gradle,"",false,,,0,,,,,,"",,
37661069,37661070,100,58852375c2e777200b50f5c1025ed116bf660cf9,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
64337253,64337254,1010,8131f679627a2527f5e0edb2e2a6130aa986a6ba,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64391380,64391381,1011,faaf21d88a3426806cc6d76970ff88f16e52a845,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64392700,64392701,1012,445b9938f1854f44062bd0a5cdbaa14a51a6966f,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64394603,64394604,1013,6bb5539ba37791794d31f1d4e8497a1b6964110c,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
64395038,64395039,1014,f39d33bbdddaa4233e85762cee981e81c260b5fb,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64397122,64397123,1015,eccc7d50be20f8fcb1389425f4f72e50d31745cf,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64406402,64406403,1016,ae09b866a41d374087cb98aaf0c5919fe4dd8710,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
64490811,64490812,1017,5537ebe00125563420f8758742c8359e5778c779,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64500272,64500273,1018,a42bdf5887af8bfc7d36638371bea362b02737c4,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64527145,64527146,1019,e6e413dae17e2b3a9bc13ad68259cc70bfc50a32,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
37752707,37752708,101,7c62f49e71359a01b8343b89164e9ca5a7ffc561,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
64533801,64533802,1020,288ba8129bb37510f9b9d0b905ac2c6939c2045d,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64535685,64535686,1021,da588a2160f8a82cb0543c3594095f101cdd4e31,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
64662879,64662880,1022,de40e6ad9cb994954426e84a0719b97151b69388,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64665433,64665434,1023,90b0a900ef6923ce40bc3ade8d00e8d3ba3ad5d8,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64667328,64667329,1024,79c6cd35e8b168c1bb9cc81b25bcf253df55740e,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64678862,64678863,1025,915e2aca9179bf1e5299abac818e2178d0684e78,java,ok,2,java-gradle,junit,true,false,,0,,,,,,"",,
64679019,64679020,1026,84084da60198836bc5f7d7dcb51569a77733054f,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
64679558,64679559,1027,4727dc54fcd124eed70ae717a5e96e069b192a18,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64681028,64681029,1028,4b58a872a2f6e87a7b081837384c7ab7b06861d9,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
64767938,64767939,1029,69f3f67db9d7a4f138478da51e05493cf21eaea8,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
37796977,37796978,102,2490794fc9d142708d088d69de9c44e9e0e3b642,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
64781473,64781474,1030,371bb7c894822424d2caff3b1a4a06a555a03ccb,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64849979,64849980,1031,c85d18402352ac0c2f34724ca47c9ecf1c78b243,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
64852111,64852112,1032,95eabbf31820b67c61c64dcb7e1b40d164b8b481,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
