build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
152356087,18b729c5258aae34d1a9b0e7a0621855462e002a,86,master,failed,247,2016-08-15 10:27:42 UTC,152356088,pull_request
115058010,4c0a9c6c7b0bfc789d11b22e352dd9173f418b13,77,master,failed,204,2016-03-10 13:33:41 UTC,115058011,pull_request
109602794,a342c04549e3f7c88df8d85ab0d63dcc4f6ae94b,76,master,passed,214,2016-02-16 13:40:54 UTC,109602795,pull_request
105806380,c67f617ff6e50942ae0ee5a393ebfe09d4146ccf,75,master,passed,195,2016-01-30 00:24:23 UTC,105806381,pull_request
61120259,0dddce4f93e331683e5f011b3f454936f60d1c22,,master,passed,361,2015-05-04 09:02:14 UTC,61120260,push
61117726,b0c40d952e5c1790899a7f20d4ae6b766814edfa,55,master,passed,343,2015-05-04 08:36:48 UTC,61117727,pull_request
61093695,6c18f3959d315f2f34e0330491938344a68ed1b1,,travis,canceled,77,2015-05-04 02:39:17 UTC,61093696,push
61093485,6c18f3959d315f2f34e0330491938344a68ed1b1,,master,errored,145,2015-05-04 02:28:04 UTC,61093486,push
61093413,a4192b00c3812db91b3ad27aeaddb11fafcfb9d9,53,master,errored,177,2015-05-04 02:26:51 UTC,61093414,pull_request
55183459,bfd271028e93658ce98c631866f0ddb6facb2ee3,48,master,passed,199,2015-03-20 14:57:41 UTC,55183460,pull_request
53872299,157655bfde8ccb5633e838bf592d20656a6fee2f,46,master,passed,210,2015-03-10 22:39:03 UTC,53872300,pull_request
49471747,4b063646fa7d7e81e8dd016c056e96e11dbf16a2,41,master,passed,179,2015-02-04 15:43:31 UTC,49471748,pull_request
45339298,025e7a7d8a3b25764889267b0488e02cff748d8e,,master,passed,193,2014-12-29 10:07:29 UTC,45339299,push
44918945,920ce4a0d530ddb32d385b579ba24f7163b8eee4,,master,passed,308,2014-12-23 10:00:53 UTC,44918946,push
44918689,5eb063679a46b07b2c490cc71e07c00b19a1873c,35,master,passed,241,2014-12-23 09:56:43 UTC,44918690,pull_request
44918455,e1240667ed493c24095dbc579d6f2082e5bdb439,35,master,passed,222,2014-12-23 09:53:01 UTC,44918456,pull_request
43970063,21ea093a50309ce5206553e0b0c2da871ade1925,,master,passed,225,2014-12-14 01:13:14 UTC,43970064,push
43969966,36aabd7b4f5010f8b80d115b696860b668049278,32,master,passed,225,2014-12-14 01:09:51 UTC,43969967,pull_request
42626015,8ded7721e2c3a90f274fe54a9fee9a5dff602a23,,v1.1.3,passed,187,2014-12-01 13:05:31 UTC,42626016,push
42625948,8ded7721e2c3a90f274fe54a9fee9a5dff602a23,,master,passed,206,2014-12-01 13:04:29 UTC,42625950,push
