tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
79469171,79469172,100,1d796673e3495a220b379025b2cff59d25c23d32,android,unknown,0,plain,"",false,,,,,,,,,"",,
79469309,79469310,101,0e4d36f9d7a0bbb25d54a13c3e0b72bc44b67c42,android,broken,0,plain,"",false,,,,,,,,,"",,
79469348,79469349,102,50714ad34929908d86b2a27aefeb9964918fb024,android,unknown,0,plain,"",false,,,,,,,,,"",,
79469404,79469405,103,9ec360313f27604dbc2b9fbe91e203e220ea83f6,android,unknown,0,plain,"",false,,,,,,,,,"",,
79753602,79753603,104,001984c85bbb5ccb7a3df4e33fe3090d22a8ac88,android,ok,1,plain,"",false,,,,,,,,,"",,
79753604,79753605,105,9a74cfd53be827aa7ac4f42dd144bbaae0275859,android,ok,1,plain,"",false,,,,,,,,,"",,
79753613,79753616,106,001984c85bbb5ccb7a3df4e33fe3090d22a8ac88,android,ok,1,plain,"",false,,,,,,,,,"",,
80182470,80182471,107,58b1fdebdabb3548ecab4cb445278e029545e5b1,android,ok,0,plain,"",false,,,,,,,,,"",,
80814577,80814578,108,d524278a484f40f532b6c8c48e67554964ae34dc,android,ok,0,plain,"",false,,,,,,,,,"",,
81945686,81945688,109,217248c08bb81aac6bce7c20c04f2625f600dce8,android,unknown,0,plain,"",false,,,,,,,,,"",,
61179897,61179898,10,fa3e692a86e2a5e07b832ceb631d24c1e3963437,android,ok,1,plain,"",false,,,,,,,,,"",,
81946235,81946236,110,4cac60e5bb316949de5c4b1d70dccdf99eeb95d6,android,ok,0,plain,"",false,,,,,,,,,"",,
82244998,82245001,111,8dfdeb53516ec3ff73255eb5779f159f762b738b,android,ok,1,plain,"",false,,,,,,,,,"",,
84174972,84174973,112,b21ee08278571b4dc5fd0738ce6cd864aab6eff8,android,unknown,1,plain,"",false,,,,,,,,,"",,
