tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
43403653,43403656,100,eb3b5ed1fdfcede8a45b495685c11fefdf20e582,android,unknown,2,plain,"",false,,,,,,,,,"",,
43427277,43427278,101,61d92cecf65b8e3d3e174711e6559795348f4306,android,unknown,3,plain,"",false,,,,,,,,,"",,
43427340,43427341,102,0bdcb55561aa2f2d313ad64c368a3009e9029c05,android,unknown,3,plain,"",false,,,,,,,,,"",,
43700166,43700167,103,6bf962e87e1fd046318a8f5ff68d27aa1fd034da,android,broken,66,plain,"",false,,,,,,,,,"",,
43706028,43706029,104,fb81471c61a013e905e37548e0a2721b53d40304,android,unknown,2,plain,"",false,,,,,,,,,"",,
43709622,43709623,105,37fcce5a6bb7139378af922180a60a85d4993c3e,android,broken,0,plain,"",false,,,,,,,,,"",,
44034916,44034917,106,e8806649adbd30854b506f0ae99fb76ec441e008,android,broken,3,plain,"",false,,,,,,,,,"",,
44039867,44039868,107,2270699b364c21320fac46ba55454a1b5277d209,android,ok,26,plain,"",false,,,,,,,,,"",,
44039867,44039869,107,2270699b364c21320fac46ba55454a1b5277d209,android,ok,29,plain,"",false,,,,,,,,,"",,
44039867,44039870,107,2270699b364c21320fac46ba55454a1b5277d209,android,ok,65,plain,"",false,,,,,,,,,"",,
44039867,44039871,107,2270699b364c21320fac46ba55454a1b5277d209,android,ok,49,plain,"",false,,,,,,,,,"",,
44039867,44039872,107,2270699b364c21320fac46ba55454a1b5277d209,android,ok,56,plain,"",false,,,,,,,,,"",,
46094178,46094179,108,41b701928ce986202108921b7156cada79926d4d,android,unknown,3,plain,"",false,,,,,,,,,"",,
46094280,46094281,109,cf1f30b4c752f275518384a9b71404ee501fc473,android,unknown,3,plain,"",false,,,,,,,,,"",,
25207836,25207837,10,fe42a97ff0f979b2ae04d9deefe6182013194e17,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
46152323,46152324,110,0913d5d0bb3f11359cba85b8f693a09196a31778,android,unknown,2,plain,"",false,,,,,,,,,"",,
46199325,46199326,111,4ef25b4981717bf17bd22061b05630875295719f,android,unknown,8,plain,"",false,,,,,,,,,"",,
46199613,46199615,112,46f5a18048bbf74b78289f5ff2e56e6eea729bd7,android,unknown,3,plain,"",false,,,,,,,,,"",,
46199724,46199725,113,b8b238fbec47b329833cbdb2a5fc01b253d3ca15,android,ok,6,plain,"",false,,,,,,,,,"",,
46200831,46200832,114,89d020dc047976678fa4c6a2d25f36e8a45c5640,android,unknown,3,plain,"",false,,,,,,,,,"",,
46200929,46200930,115,3dd9e15b0641adc415035af07c8cae9d780a2091,android,unknown,3,plain,"",false,,,,,,,,,"",,
46931217,46931218,116,dbdbd9a180aa8984a933bdc89f9e46b3d7f05ad5,android,unknown,2,plain,"",false,,,,,,,,,"",,
47174474,47174475,117,a0ae0502dbe81ce58f79876539108ea661a9862f,android,unknown,2,plain,"",false,,,,,,,,,"",,
48577974,48577975,118,f065b8b9391e1a213d4a84588b344907211984f5,android,unknown,2,plain,"",false,,,,,,,,,"",,
48701518,48701519,119,d7bab489f24cae9d33f84295e0820ebbb3f3ad4c,android,unknown,5,plain,"",false,,,,,,,,,"",,
25208593,25208594,11,73f349aa91bcc34c66ec93e2dc148c8caa27fbf3,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
48721732,48721733,120,78f9905ff1b9ded8a113ba5e5e41894e7bedbad5,android,ok,3,plain,"",false,,,,,,,,,"",,
48721756,48721757,121,82c427b03880961618c0dc58e9339cb840e265cd,android,ok,3,plain,"",false,,,,,,,,,"",,
48828451,48828452,122,b3c3ae2a5b41e28c07383644d78e5c076288322f,android,unknown,3,plain,"",false,,,,,,,,,"",,
49264370,49264371,123,81370932e09ce85845f73b0566a7dc761630cff4,android,ok,2,plain,"",false,,,,,,,,,"",,
50962293,50962294,124,41fa1420bd6d9c9c32d15850bb45c3ea37c217d6,android,ok,4,plain,"",false,,,,,,,,,"",,
51985944,51985945,125,b42f31fbc369305ce59d41da26d0258ea71b6710,android,ok,3,plain,"",false,,,,,,,,,"",,
51988061,51988062,126,32dcd10fdded985beb277a319b6b3aa5c147b4fb,android,broken,2,plain,"",false,,,,,,,,,"",,
51991856,51991857,127,d081ecb567e01489f4229c270f34402ad54878f7,android,broken,2,plain,"",false,,,,,,,,,"",,
52009512,52009513,128,883636fb631b3f73dfa868d727505ebcfd2445b1,android,broken,2,plain,"",false,,,,,,,,,"",,
58424164,58424165,129,7590bab197cded71e92b34d869d934201dfb29b5,android,broken,2,plain,"",false,,,,,,,,,"",,
29719816,29719817,12,71078a02d21e0d28951e1d82a947681c8816c3ce,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
66760669,66760670,130,175529c025e60b662da96a779f8d6cb1bc6764ef,android,ok,2,plain,"",false,,,,,,,,,"",,
66807133,66807134,131,350512d17f7f33c31580ca64e61b53d5741afaea,android,broken,2,plain,"",false,,,,,,,,,"",,
67159902,67159904,132,7799bf866817f0165410e755ae17a62ffc5df6fb,android,unknown,2,plain,"",false,,,,,,,,,"",,
77381500,77381501,133,270fb29e70822b4e33db6d0a70c605741098f82f,android,broken,3,plain,"",false,,,,,,,,,"",,
85283399,85283400,134,2531cbdbe27e5795eb78bf47d27e8c1be494aad4,android,unknown,4,plain,"",false,,,,,,,,,"",,
