build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
156632588,4821982abc14931476373decb82adc4ee5b03bc4,,master,passed,152,2016-08-31 20:41:54 UTC,156632589,push
156605883,88bfab55cd1f8235ea902dd4f75f3f0dbdaa2966,812,master,passed,135,2016-08-31 18:52:27 UTC,156605884,pull_request
156574655,832f899f2fc8c422f9606108f6ae6f7eb86d87ea,,master,passed,176,2016-08-31 16:47:24 UTC,156574656,push
156379606,78ab22f5f52a85d50f8f1dd86b5fc8faf65131bb,810,master,passed,143,2016-08-30 23:30:46 UTC,156379607,pull_request
156367225,627b8b3779918732c27f3668da1dcc53e8dee0b3,,master,passed,163,2016-08-30 22:23:05 UTC,156367226,push
156366370,ad9437c454714ff9e47328a043d6b98414e10598,809,master,passed,133,2016-08-30 22:18:39 UTC,156366371,pull_request
156359612,0502ea8c2d8afd9261928de4a1411daa6072ecd7,,master,passed,132,2016-08-30 21:51:51 UTC,156359613,push
156357805,e7ae777df1d1fe48579440a1ac3ba742b20a7390,807,master,passed,142,2016-08-30 21:44:20 UTC,156357806,pull_request
156328382,a871923f1a3d02e690699645e4f823bd994cbdf7,,master,passed,129,2016-08-30 19:49:06 UTC,156328383,push
156319419,bc15b9bc55a96d00e5a0710248a7a69462f8423d,805,master,passed,133,2016-08-30 19:15:09 UTC,156319420,pull_request
156315378,d040f66573f8b8b0787178938310bc5bd9f617fd,805,master,passed,134,2016-08-30 19:02:17 UTC,156315379,pull_request
156284083,6807e7e59afe29d68c1d041cdc998e427533d797,,master,passed,142,2016-08-30 17:02:08 UTC,156284084,push
156279475,4cab83e6b8d5f5c4dc8eda4d5b8d719da7513d5a,,master,passed,150,2016-08-30 16:46:53 UTC,156279476,push
156278536,b781665b49f134556d98fabb852571685bc902b6,800,master,passed,140,2016-08-30 16:43:37 UTC,156278537,pull_request
156275870,fdbe855a5b52a94c7174fdd04ace487d8a834625,,master,passed,131,2016-08-30 16:31:44 UTC,156275871,push
156267803,d83d61107353d26a8797fa20ef23cd155a1da156,805,master,passed,143,2016-08-30 16:03:50 UTC,156267804,pull_request
156125227,b014605a39f671ebc2430ae1f6a4f0bd02776f15,805,master,passed,123,2016-08-30 05:24:01 UTC,156125228,pull_request
156112723,114247763f4dc1d1ff1864bcc0959097cca1cc7b,804,master,passed,126,2016-08-30 03:18:30 UTC,156112724,pull_request
156070776,5adb31290b9701dc558970720251896bee8fee21,801,master,passed,122,2016-08-29 22:17:46 UTC,156070777,pull_request
156059520,7f7aacb1fc5f4406182ed35883353c68eb453a96,800,master,passed,130,2016-08-29 21:26:19 UTC,156059521,pull_request
155477705,a825056513789c0f694b5d38e58723176bc0be63,,master,passed,121,2016-08-26 22:01:15 UTC,155477706,push
155472805,e1434c81b7b7266d5d1e614e88f1cbe390f81bc6,794,master,passed,123,2016-08-26 21:38:27 UTC,155472806,pull_request
155469505,9fa7c09a98b4c205a457359e9beab97f93c3daa2,,master,passed,132,2016-08-26 21:23:40 UTC,155469506,push
155469178,fad74482c348abe0bd179fd34a82d0fc8a827484,,master,passed,137,2016-08-26 21:21:30 UTC,155469179,push
155214396,16b8f67b2740a1cae67d0fbb39dfd5ae1ef0e720,796,master,passed,125,2016-08-26 00:34:54 UTC,155214397,pull_request
155212438,ea58a6991764a1b406b6134fe7df1e562ee1acae,795,master,passed,126,2016-08-26 00:24:11 UTC,155212439,pull_request
155211284,9d1b65b24d05e3c2f1c0ed5800fd9fdd08390966,794,master,passed,127,2016-08-26 00:17:56 UTC,155211285,pull_request
154604380,5ed476979269ffcf8f96536410fbcd0d716c3716,,master,passed,125,2016-08-24 00:56:52 UTC,154604381,push
154587299,7ddbb4a27b873f9984f5e98a3baa88882cb42b37,783,master,passed,120,2016-08-23 21:51:00 UTC,154587300,pull_request
154583150,0b6157e8d30190623f7a524e4a809924c8e110f6,783,master,passed,126,2016-08-23 21:34:34 UTC,154583151,pull_request
154579962,bd56a1082869369c2205e415fb74e8f3289af073,789,master,passed,121,2016-08-23 21:23:24 UTC,154579963,pull_request
154530797,b5a0433656639c436f8db3b6a800a5a37fc45d5c,,master,passed,159,2016-08-23 18:06:51 UTC,154530798,push
154526449,a81452c735dcbe10f14e793779b56c4a330d3ef6,788,master,passed,129,2016-08-23 17:51:22 UTC,154526450,pull_request
154288507,2933ba8dace6f4961a9977be63f2ebe8b493c54b,,master,passed,127,2016-08-22 21:47:51 UTC,154288508,push
154285893,7ba4ccdb3f41c89ce9bbc9f177c840a33d42f4eb,786,master,passed,119,2016-08-22 21:40:27 UTC,154285894,pull_request
154281681,b0f92d2e7d165a2e4f400735dd0e3cfada8a98d7,786,master,passed,139,2016-08-22 21:26:33 UTC,154281682,pull_request
154237312,c70cea7658d34e56cd6b37938e99ae98a096abc7,786,master,passed,122,2016-08-22 18:48:35 UTC,154237313,pull_request
154236899,ab11a2d52e94beb9c09c106619f0fa05819c3de2,786,master,passed,133,2016-08-22 18:46:45 UTC,154236900,pull_request
154235625,3ba6eeee32da95210ebfec0d61f2bd08ecd91e05,786,master,passed,128,2016-08-22 18:42:00 UTC,154235626,pull_request
154227667,fcfe98f796f5ded726773ba0a9981797de68dee6,786,master,passed,139,2016-08-22 18:11:14 UTC,154227668,pull_request
153403100,a4e6417e6bb1f1b072530b57c18ace1da4aa36dc,783,master,passed,118,2016-08-18 21:15:19 UTC,153403101,pull_request
153055102,bbc2ef4d8ebea1b088b3892eb1e09d17bcbfd95a,,android-0.2.0,passed,131,2016-08-17 18:40:11 UTC,153055103,push
153046923,bbc2ef4d8ebea1b088b3892eb1e09d17bcbfd95a,,master,passed,121,2016-08-17 18:37:12 UTC,153046924,push
153040618,49d2dc96259cde35c7723f90bd5334b5d0d642c0,780,master,errored,18,2016-08-17 18:14:06 UTC,153040619,pull_request
152486161,8ce6410e67158e300f1ac992b406b0de2b60441a,,master,passed,126,2016-08-15 20:25:42 UTC,152486162,push
152472129,23de54b379c9de99ee2aca5509f2489ccd3d37d5,779,master,passed,118,2016-08-15 19:34:28 UTC,152472130,pull_request
152471615,453d902115eb56591cc38f5f3670cc11566b8c8f,,master,passed,135,2016-08-15 19:32:07 UTC,152471616,push
152440599,6f13fdee27d69104a24b53fdb1a35beaada2a1ab,779,master,passed,129,2016-08-15 17:15:05 UTC,152440600,pull_request
152407566,f20fdb6306c2768a7383dff537e23f6881857d4e,778,master,passed,129,2016-08-15 15:01:37 UTC,152407567,pull_request
151273492,07adf4bede140ce6afdb3eab71d8740c3a69c52d,,master,passed,127,2016-08-10 17:04:26 UTC,151273493,push
151079183,ef705c5e6dda83aa95189c637aed8aa07b683705,773,master,passed,134,2016-08-10 00:44:06 UTC,151079184,pull_request
151022228,b808622f0230bebae58032384c883c52ba25e4fc,,master,passed,207,2016-08-09 19:19:45 UTC,151022229,push
151012843,5f7eee4db76d918ef7e647aabda90deb046a907d,776,master,passed,182,2016-08-09 19:04:10 UTC,151012846,pull_request
151010357,26f6075d753f259af1c1cfba4c0952e7a4953874,,master,passed,217,2016-08-09 18:58:19 UTC,151010358,push
151001530,0203f4778481a682f2c17abf39299eecff56b314,776,master,passed,176,2016-08-09 18:03:19 UTC,151001531,pull_request
150996047,5b761f46707cb7a51bddf1ff935c83b7922449d7,775,master,passed,199,2016-08-09 17:44:44 UTC,150996048,pull_request
150784408,c7c9b84a81cd1f593ad4de549647f0b66775cdea,773,master,passed,146,2016-08-08 23:01:24 UTC,150784409,pull_request
150784055,61a2e4774e4b513303e7b80fbc217d0f48b2b0d0,775,master,passed,140,2016-08-08 22:59:30 UTC,150784056,pull_request
150779614,a95d7d168f33523451807dcc1859fda43de2cc82,,master,passed,134,2016-08-08 22:36:38 UTC,150779615,push
150778420,2a1d45e8b71401ca9779047253f1d8c49b5b7796,774,master,passed,139,2016-08-08 22:31:35 UTC,150778421,pull_request
150774765,e320989c9265e4553ec577a6bbfe6b5f12015e86,,master,passed,129,2016-08-08 22:15:01 UTC,150774766,push
150774416,2edca7ba7016697c92574964fb266a9aa807d274,773,master,passed,131,2016-08-08 22:13:45 UTC,150774417,pull_request
150773834,7ca0119e385093d22ed0954e742dc386d4385f97,772,master,passed,144,2016-08-08 22:10:34 UTC,150773835,pull_request
150772236,44150e483d53aa558982d8184fa623bdee2882e0,772,master,passed,136,2016-08-08 22:09:39 UTC,150772237,pull_request
150758466,52cfb211a0c10e203b1280f6c4b19eddc5e4b1c6,,master,passed,128,2016-08-08 22:06:02 UTC,150758468,push
150729896,ab2d89ad4274835b8f70712930da156fb31e97c3,771,master,passed,139,2016-08-08 19:21:04 UTC,150729897,pull_request
150717483,982023c2f2a98611328a762747d3f8c2e06aec1f,770,master,passed,138,2016-08-08 18:31:00 UTC,150717484,pull_request
150716360,fb9ed2251e46f85cebf521431939aa7790095e21,,master,passed,137,2016-08-08 18:26:34 UTC,150716361,push
150716069,bd040ef24220a82c236dc58ad3a580a0f16efaa7,,master,passed,236,2016-08-08 18:24:38 UTC,150716070,push
150715477,41d5d3deb06857cf37f5b8203d75a9f425135351,,master,passed,137,2016-08-08 18:21:51 UTC,150715478,push
150715330,5be010eb7c9a9cc93023c932ad64fbfd0d6760a9,769,master,errored,27,2016-08-08 18:21:46 UTC,150715331,pull_request
150715059,af5e7922ec2a2a661c4abe6ab5cdba400bfaf440,768,master,passed,138,2016-08-08 18:19:51 UTC,150715060,pull_request
150714273,ddfb1fb0e0e536f676d4f30815d3ea7b1f57c951,768,master,passed,133,2016-08-08 18:16:44 UTC,150714274,pull_request
150705076,07e0262a8daadc26922b4d40a8c8d6eb823ddf55,,master,passed,139,2016-08-08 17:37:58 UTC,150705077,push
150342646,791fd35a8d3d13308ca8ac429704a0c366178c10,767,master,passed,129,2016-08-06 23:03:46 UTC,150342647,pull_request
150342596,f16427baea91493f7d3a895d26837cf2ebc26bc8,767,master,passed,135,2016-08-06 23:02:42 UTC,150342597,pull_request
150342058,5601a3b23491e7bbd33d54a5b3e6d15caf7b3a85,,master,passed,151,2016-08-06 22:59:00 UTC,150342059,push
150342043,308a314c045f8b58e77f8f7e9a5cadfa8667c91d,766,master,errored,28,2016-08-06 22:58:55 UTC,150342044,pull_request
150209378,a29b82e650e43ac810cfed07708b3a2b7247bb9d,,master,passed,133,2016-08-06 01:58:14 UTC,150209379,push
150209343,6e8b262cf3b2fd573fe7b003b2c83d6db0b0403e,,master,passed,131,2016-08-06 01:57:47 UTC,150209344,push
150190507,b04879c93bc2c018d3dd5be60c158a755579c2b9,763,master,passed,179,2016-08-06 00:06:41 UTC,150190508,pull_request
150187618,1fb7de1fbb5a92b48682b8d19effa6a95816ba20,764,master,passed,182,2016-08-05 23:53:16 UTC,150187619,pull_request
150185652,a29663a3554bec4d8e1d1958149411fa439e6874,763,master,passed,181,2016-08-05 23:41:59 UTC,150185653,pull_request
150185453,d6f46542bb1960f982dcac08cdd617518b5170d4,,master,passed,199,2016-08-05 23:40:13 UTC,150185454,push
