tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
30680286,30680287,1000,52324645fc32633057b95e324def0593aceadb48,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30685087,30685088,1001,84e76fcac86ac77f14f308777fca978d84681e63,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30686614,30686615,1002,eaa41d3699094bfa2cf626fac40042047b1d321d,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30687286,30687287,1003,620748ff9e853a757acc4df81b09f23af49fc39d,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30694218,30694219,1004,461badc0b50a9ea2dbe04b1ab0e103517bdd77ac,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30704574,30704575,1005,0da470b0b590334b7b365d96fad12b0f7a757b05,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30707978,30707979,1006,c2019ec57483545ec443bf56cf34b96e7a86ea19,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30714040,30714041,1007,0fb634c2597c1e9efb5e72530319b1a019eb1b21,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30718519,30718520,1008,97e55d5444b50044cb3d31172b97d2eb43577264,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30718842,30718843,1009,ff2c4239ea94e11b2d89f89cb7b151ebfe7c5451,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
21125163,21125164,100,369fd3607e4c627e1320f55d071e01612d65c407,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30720938,30720939,1010,1024892375359ecc9acab3f34ed6ba47eb5db35a,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30725982,30725983,1011,c036252c4cbd7492c07f4536c4d86d8d0049e17d,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30741158,30741159,1012,73f7b265cc29ba7a92557e951fc32c1d50067158,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30746981,30746982,1013,525de5d3fe0c37d34fe985221a088c0dc8a78373,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30750568,30750569,1014,59bf6c18f938c61f49f78907d5a00f4da149ca59,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30755461,30755462,1015,bd2d670dcceed99c4b54afa8afadf321cff5badc,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30765975,30765976,1016,79eee96f12f64d915ab33317f6418515af8a6567,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30783751,30783752,1017,34ffb4b75057ee9f72d0e308721547f5f12ea6be,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
30784804,30784805,1018,b064cdba32440a43a813fdc55f68ba2c09a95dab,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
