tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
51717069,51717070,100,3f069ae015d4c2281c35e1937fd2fadd7e9bdf2d,android,ok,0,plain,"",false,,,,,,,,,"",,
51717069,51717071,100,3f069ae015d4c2281c35e1937fd2fadd7e9bdf2d,android,ok,0,plain,"",false,,,,,,,,,"",,
51717277,51717278,101,a7d27b66945d5fd1fe5569e04367164bd4aeee99,android,ok,0,plain,"",false,,,,,,,,,"",,
51717277,51717279,101,a7d27b66945d5fd1fe5569e04367164bd4aeee99,android,ok,0,plain,"",false,,,,,,,,,"",,
51740459,51740460,102,cf6f736057c3f4bfe23495c4fe562b4636fd872c,android,ok,0,plain,"",false,,,,,,,,,"",,
51740459,51740461,102,cf6f736057c3f4bfe23495c4fe562b4636fd872c,android,ok,0,plain,"",false,,,,,,,,,"",,
51751815,51751816,103,daa7370c8fa833e477e42ef281fd7279fb079a88,android,ok,0,plain,"",false,,,,,,,,,"",,
51751815,51751818,103,daa7370c8fa833e477e42ef281fd7279fb079a88,android,ok,0,plain,"",false,,,,,,,,,"",,
51809551,51809552,104,9bd7391bf8fee11be781d34d1cbce4d861fd4249,android,broken,0,plain,"",false,,,,,,,,,"",,
51809551,51809553,104,9bd7391bf8fee11be781d34d1cbce4d861fd4249,android,ok,0,plain,"",false,,,,,,,,,"",,
51839773,51839774,105,72e080b330b12773daa47585559fd99a66fd93d5,android,broken,0,plain,"",false,,,,,,,,,"",,
51839773,51839775,105,72e080b330b12773daa47585559fd99a66fd93d5,android,ok,1,plain,"",false,,,,,,,,,"",,
51842996,51842997,106,255128d043c85274ec2c0125e46bddd190a902bd,android,broken,0,plain,"",false,,,,,,,,,"",,
51842996,51842998,106,255128d043c85274ec2c0125e46bddd190a902bd,android,broken,0,plain,"",false,,,,,,,,,"",,
51845482,51845483,107,a1b9e3e9d50ba018088c70cb9330c83b0a851b5a,android,ok,0,plain,"",false,,,,,,,,,"",,
51845482,51845484,107,a1b9e3e9d50ba018088c70cb9330c83b0a851b5a,android,ok,0,plain,"",false,,,,,,,,,"",,
51877495,51877496,108,aa7022eea162f43c10e8bbb5f1ef47c569fad979,android,ok,0,plain,"",false,,,,,,,,,"",,
51877495,51877497,108,aa7022eea162f43c10e8bbb5f1ef47c569fad979,android,ok,0,plain,"",false,,,,,,,,,"",,
52194444,52194445,109,6a37ce715294cccc57586fd4f00352319c0899f7,android,broken,0,plain,"",false,,,,,,,,,"",,
52194444,52194446,109,6a37ce715294cccc57586fd4f00352319c0899f7,android,ok,4,plain,"",false,,,,,,,,,"",,
11277123,11277124,10,d271339f5347459ff027bd590c1a41dba6160b47,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
52200881,52200882,110,89bb5357d7ac0bcf45696a86832cc9ee67650039,android,ok,0,plain,"",false,,,,,,,,,"",,
52200881,52200883,110,89bb5357d7ac0bcf45696a86832cc9ee67650039,android,ok,0,plain,"",false,,,,,,,,,"",,
52348703,52348704,111,a604b625a1cf039b7febfc306b21e8298434046d,android,ok,0,plain,"",false,,,,,,,,,"",,
52348703,52348705,111,a604b625a1cf039b7febfc306b21e8298434046d,android,ok,1,plain,"",false,,,,,,,,,"",,
52351399,52351400,112,1aa2e3353b4882034cd3e25c561af4b092a67d6d,android,ok,0,plain,"",false,,,,,,,,,"",,
52351399,52351401,112,1aa2e3353b4882034cd3e25c561af4b092a67d6d,android,ok,0,plain,"",false,,,,,,,,,"",,
52370318,52370319,113,f905d65706848e87b02335529a98e147e5ef4ce5,android,ok,0,plain,"",false,,,,,,,,,"",,
52370318,52370320,113,f905d65706848e87b02335529a98e147e5ef4ce5,android,ok,0,plain,"",false,,,,,,,,,"",,
52449302,52449304,114,2ded451be07a4af388c2dc2c3f5ac20062a332b8,android,ok,0,plain,"",false,,,,,,,,,"",,
52449302,52449306,114,2ded451be07a4af388c2dc2c3f5ac20062a332b8,android,ok,0,plain,"",false,,,,,,,,,"",,
52650118,52650119,115,3e16f26104b5456dda32f2b803d0ca3c90bdac15,android,ok,0,plain,"",false,,,,,,,,,"",,
52650118,52650120,115,3e16f26104b5456dda32f2b803d0ca3c90bdac15,android,ok,0,plain,"",false,,,,,,,,,"",,
52707313,52707315,116,b521bd06ebd67d5ab24fda4bfe714ef616309e3c,android,ok,0,plain,"",false,,,,,,,,,"",,
52707313,52707317,116,b521bd06ebd67d5ab24fda4bfe714ef616309e3c,android,ok,1,plain,"",false,,,,,,,,,"",,
53565566,53565567,117,232a70fa22f21c3f675badb4415c34760e63af51,android,ok,0,plain,"",false,,,,,,,,,"",,
53565566,53565568,117,232a70fa22f21c3f675badb4415c34760e63af51,android,ok,0,plain,"",false,,,,,,,,,"",,
53566475,53566476,118,8084e31e5a85c198df7119b6195449589f40b58d,android,ok,0,plain,"",false,,,,,,,,,"",,
53566475,53566477,118,8084e31e5a85c198df7119b6195449589f40b58d,android,ok,0,plain,"",false,,,,,,,,,"",,
54821633,54821635,119,3f5e8cc1f82d7c1757352077ebb8b824f9209398,android,ok,0,plain,"",false,,,,,,,,,"",,
54821633,54821637,119,3f5e8cc1f82d7c1757352077ebb8b824f9209398,android,ok,0,plain,"",false,,,,,,,,,"",,
11507815,11507816,11,e7c3779d72f8da9ba49286de4c3c12cffc1b7767,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
57660322,57660323,120,6fdd094b20708d53bc3c4e26fc791c50f8e2d281,android,broken,0,plain,"",false,,,,,,,,,"",,
57660322,57660324,120,6fdd094b20708d53bc3c4e26fc791c50f8e2d281,android,broken,0,plain,"",false,,,,,,,,,"",,
59349174,59349175,121,4d45842781dbbf9578a0de356598e3e7d0a25ab0,android,ok,0,plain,"",false,,,,,,,,,"",,
59349174,59349176,121,4d45842781dbbf9578a0de356598e3e7d0a25ab0,android,ok,0,plain,"",false,,,,,,,,,"",,
59631131,59631132,122,73019f51dff860b37a52ce4acbe13c4989891fbb,android,ok,0,plain,"",false,,,,,,,,,"",,
59631131,59631133,122,73019f51dff860b37a52ce4acbe13c4989891fbb,android,ok,0,plain,"",false,,,,,,,,,"",,
64986012,64986013,123,f5106bc144f2f0ba89c90b0b64766f06a248ec90,android,ok,0,plain,"",false,,,,,,,,,"",,
64986012,64986014,123,f5106bc144f2f0ba89c90b0b64766f06a248ec90,android,ok,0,plain,"",false,,,,,,,,,"",,
65125854,65125855,124,4c225398eebf037802f95bd6a11448f0f3bb7151,android,broken,0,plain,"",false,,,,,,,,,"",,
65125854,65125856,124,4c225398eebf037802f95bd6a11448f0f3bb7151,android,broken,0,plain,"",false,,,,,,,,,"",,
65147250,65147253,125,7952c05234bb845552599fe86148112eb2bcf20c,android,broken,0,plain,"",false,,,,,,,,,"",,
65147250,65147254,125,7952c05234bb845552599fe86148112eb2bcf20c,android,broken,0,plain,"",false,,,,,,,,,"",,
65211820,65211821,126,56787cdabbdc3985e7917860689297b9eebc3051,android,broken,0,plain,"",false,,,,,,,,,"",,
65211820,65211822,126,56787cdabbdc3985e7917860689297b9eebc3051,android,broken,0,plain,"",false,,,,,,,,,"",,
65221027,65221028,127,0b3fbb9ba26ee98d4337c13bc96775ea67f93d58,android,broken,0,plain,"",false,,,,,,,,,"",,
65221027,65221029,127,0b3fbb9ba26ee98d4337c13bc96775ea67f93d58,android,broken,0,plain,"",false,,,,,,,,,"",,
65305960,65305961,128,b2f02b92297066d56a3be2d002e1a3140992c4e7,android,broken,0,plain,"",false,,,,,,,,,"",,
65305960,65305962,128,b2f02b92297066d56a3be2d002e1a3140992c4e7,android,broken,0,plain,"",false,,,,,,,,,"",,
65519274,65519275,129,1b556731c410b49639d668ff2c76dcb1ddcbaffb,android,broken,0,plain,"",false,,,,,,,,,"",,
65519274,65519276,129,1b556731c410b49639d668ff2c76dcb1ddcbaffb,android,broken,0,plain,"",false,,,,,,,,,"",,
13639498,13639499,12,8ac1f8ababc287fb499831bb7391cb41857a4fae,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
65559641,65559642,130,e00325dc0bc072814a5d82b64c5fc652c7fbbcc8,android,ok,0,plain,"",false,,,,,,,,,"",,
65559641,65559643,130,e00325dc0bc072814a5d82b64c5fc652c7fbbcc8,android,ok,0,plain,"",false,,,,,,,,,"",,
66894452,66894455,131,e9bc508737685db41e5469a62567fded7b6e82c1,android,broken,0,plain,"",false,,,,,,,,,"",,
66894452,66894458,131,e9bc508737685db41e5469a62567fded7b6e82c1,android,broken,0,plain,"",false,,,,,,,,,"",,
67906310,67906311,132,f72fe79cea4ee12e59168c70c96051aa073f9b10,android,ok,0,plain,"",false,,,,,,,,,"",,
67906310,67906312,132,f72fe79cea4ee12e59168c70c96051aa073f9b10,android,ok,1,plain,"",false,,,,,,,,,"",,
70524602,70524603,133,6a36e0f36aa9855d57f160cb824e3575ebc1c510,android,ok,0,plain,"",false,,,,,,,,,"",,
70524602,70524604,133,6a36e0f36aa9855d57f160cb824e3575ebc1c510,android,ok,0,plain,"",false,,,,,,,,,"",,
70531433,70531434,134,9a36d0ec67ae84c35c05cb4929470b08fb3fc40f,android,ok,0,plain,"",false,,,,,,,,,"",,
70531433,70531435,134,9a36d0ec67ae84c35c05cb4929470b08fb3fc40f,android,ok,0,plain,"",false,,,,,,,,,"",,
71476350,71476351,135,01cc105c1d3563f0e8eeb6c88337f3d3e863d2e7,android,ok,0,plain,"",false,,,,,,,,,"",,
71476350,71476352,135,01cc105c1d3563f0e8eeb6c88337f3d3e863d2e7,android,ok,0,plain,"",false,,,,,,,,,"",,
78921800,78921801,136,54c8beb661a3979bb1ba12a743310b9b096c5c58,android,ok,0,plain,"",false,,,,,,,,,"",,
78921800,78921802,136,54c8beb661a3979bb1ba12a743310b9b096c5c58,android,ok,0,plain,"",false,,,,,,,,,"",,
78933227,78933228,137,585ed2ce48f3e47d05e3356c764dbd18266713e7,android,ok,0,plain,"",false,,,,,,,,,"",,
78933227,78933229,137,585ed2ce48f3e47d05e3356c764dbd18266713e7,android,ok,0,plain,"",false,,,,,,,,,"",,
