tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
112237245,112237246,1000,d947f5fd398a009e98f1ee41b8f8d5bf2a6c584e,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",146.54999999999987,364
112237799,112237800,1001,d6d92edb9963b5ae4a8b7c8d428b146425318dba,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",139.16000000000003,348
112285640,112285641,1002,ab19c474158e8a349e12503c29cf3201a4f3692b,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",138.71,338
112442127,112442128,1003,ab19c474158e8a349e12503c29cf3201a4f3692b,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",150.84999999999994,458
112517033,112517034,1004,f135ef6ec8c864be6bfc61e43ce023916c9d069c,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",129.79000000000002,315
112572491,112572492,1005,35d6a548312c58b07bd9141f996f85d4be8f00df,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",135.99000000000007,328
112836034,112836035,1006,adb94044ff7ba6c2a2bdc56b90d081b10788ff54,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",139.85999999999993,346
113103802,113103803,1007,35d6a548312c58b07bd9141f996f85d4be8f00df,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",134.04999999999998,325
113163958,113163959,1008,af985d735a5b5f668d8be15d28b84c85f7b8b620,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",135.8000000000001,335
113166134,113166135,1009,ed825984dc6bf1ead7a61a4ef5b943aab44a3150,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",175.0600000000001,426
41713973,41713975,100,eabbb99b3d14cb0d36a43f8ace73e4bb38764e6f,java,ok,0,java-maven,junit,true,false,6,0,6,0,,,,"",0.1,11.62
113168022,113168024,1010,74d4780f2ee03477b3aaddf33d76c338245fdf7e,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",146.16000000000005,360
113169928,113169929,1011,e8d2b606c2343cc67f8fd582f32f488087aca24e,java,ok,3,java-maven,junit,true,false,4200,0,4200,0,,,,"",134.84,322
113174125,113174126,1012,eab43b91e62a7b5d19ca48aaa884c84a7747ac4f,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",152.53,371
113175513,113175514,1013,45710ecaa0bd61934e06fe08e3e70b97df627419,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",145.92999999999998,362
113382148,113382149,1014,35d6a548312c58b07bd9141f996f85d4be8f00df,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",140.97000000000003,359
113640936,113640938,1015,35d6a548312c58b07bd9141f996f85d4be8f00df,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",141.18999999999997,370
113879555,113879556,1016,35d6a548312c58b07bd9141f996f85d4be8f00df,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",140.3,338
113925528,113925529,1017,1f2624fe6b29ac7a0f13b52899670d9cc666b3cc,java,unknown,0,java-maven,"",false,,,,,,,,,"",0,
114041036,114041037,1018,35d6a548312c58b07bd9141f996f85d4be8f00df,java,ok,2,java-maven,junit,true,false,4200,0,4200,0,,,,"",136.63,332
114233248,114233249,1019,35d6a548312c58b07bd9141f996f85d4be8f00df,java,ok,4,java-maven,junit,true,false,4200,0,4200,0,,,,"",148.4,394
41753117,41753118,101,13e6c74d970627b436e91bd26c7c983e2941af63,java,ok,0,java-maven,junit,true,false,6,0,6,0,,,,"",0.11,13.01
114335582,114335583,1020,098be29220b5c905caa228965e2b6d6c1c0f408d,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",135.23000000000005,338
114464024,114464025,1021,233b895a430a480d9029c1a39aef733b2d59147c,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",145.42000000000002,363
114508780,114508781,1022,35d6a548312c58b07bd9141f996f85d4be8f00df,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",136.3700000000001,359
114645372,114645373,1023,d53aef255de1d2def1178fd3610789a87ddce950,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",144.88000000000005,370
114702288,114702289,1024,414cdfa332c4982e26d54bfae702615c9b77000b,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",123.03,295
114834482,114834483,1025,984bf552cead84a32297c85fe5d8885ec8080281,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",136.29,347
115111628,115111629,1026,984bf552cead84a32297c85fe5d8885ec8080281,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",153.25000000000003,378
115367440,115367441,1027,984bf552cead84a32297c85fe5d8885ec8080281,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",146.45999999999998,368
115373350,115373351,1028,724fad50b721655bf81ef6be7256fea02cc50dab,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",141.98999999999998,367
115491957,115491958,1029,796ddb91b21309616e64949523d370524e89c4b4,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",136.70999999999998,322
41943237,41943238,102,bbbe8bac2a424186ab5b511271e4602f67eb9857,java,ok,0,java-maven,junit,true,false,6,0,6,0,,,,"",0.09,9.38
115494526,115494527,1030,1a5af47bd09e002467b4d7c71c9e2fffa2f81c5d,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",129.72999999999996,310
115495474,115495475,1031,008aa02ecc1a30ce618c71fa7ca7b087ade85be0,java,ok,0,java-maven,junit,true,false,4202,0,4202,0,,,,"",124.03000000000002,301
115547092,115547093,1032,984bf552cead84a32297c85fe5d8885ec8080281,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",133.08,330
115682555,115682557,1033,528d179efecb827a4f4bb0359e9ceff3c32abaf7,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",149.09999999999994,361
115712212,115712213,1034,3d3c426195b7f435d3ec196dfc52d8a99def98f4,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
115891564,115891565,1035,528d179efecb827a4f4bb0359e9ceff3c32abaf7,java,ok,2,java-maven,junit,true,false,4200,0,4200,0,,,,"",134.65,332
116116771,116116772,1036,7aff77ab27d3f2339d82a533353b1614620c4893,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",141.64999999999998,348
116313109,116313110,1037,40e5c8d5879915f44d1bb9db3d8f1f3bd8d90c3c,java,ok,1,java-maven,junit,true,false,4205,0,4205,0,,,,"",134.08999999999997,317
116313805,116313806,1038,e5217bbde8e8d8baf7d4b3b3e3453879b775d005,java,ok,1,java-maven,junit,true,false,4205,0,4205,0,,,,"",142.93,345
116314104,116314105,1039,b74057bd108021dae499a4b7c39d081ac38e20dd,java,ok,0,java-maven,junit,true,false,4205,0,4205,0,,,,"",164.95000000000002,411
41943888,41943889,103,6690f084dd891a890b13e2a4641ac1b3bc95b5c1,java,ok,0,java-maven,junit,true,false,6,0,6,0,,,,"",0.11,11.35
116372475,116372476,1040,f6a20c7693d97b93654f472691acdb3d9a7f0110,java,unknown,2,java-maven,"",false,,,,,,,,,"",0,
116629599,116629600,1041,528d179efecb827a4f4bb0359e9ceff3c32abaf7,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",183.75000000000003,426
116873520,116873521,1042,448d855809aa7380663cc4b2b6f88b23e5eb7bde,java,unknown,1,java-maven,"",false,,,,,,,,,"",0,
117027814,117027815,1043,0bc0c8da6f50c06a78d51a33dde3d3150385c9fe,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",125.27999999999996,300
117093301,117093302,1044,528d179efecb827a4f4bb0359e9ceff3c32abaf7,java,ok,1,java-maven,junit,true,false,4200,0,4200,0,,,,"",137.71999999999994,354
117131057,117131058,1045,b0f96adeb169aa66ade1171de271382c335fbde4,java,ok,1,java-maven,junit,true,false,4204,0,4204,0,,,,"",160.39,397
117149279,117149280,1046,cd3a5d48d85158fa0d30145da24e5916eb2cec7d,java,ok,1,java-maven,junit,true,false,4205,0,4205,0,,,,"",130.77999999999997,318
117153050,117153051,1047,81718eb8ae2638616b9e3d8bc3f2602525ae06ee,java,ok,1,java-maven,junit,true,false,4206,0,4206,0,,,,"",132.54000000000002,345
117159147,117159148,1048,035b14fef8f26b2aa68d7d885c07ce03a90a7c5a,java,ok,1,java-maven,junit,true,false,4207,0,4207,0,,,,"",139.94999999999996,346
117232415,117232416,1049,804ffc3ea78f84f40355a28122320beb438c6909,java,ok,1,java-maven,junit,true,false,4208,0,4208,0,,,,"",159.24999999999991,408
42051914,42051915,104,9e5609811f1c23ed13ca0da241ea5a5ff7ff16b4,java,ok,0,java-maven,junit,true,false,6,0,6,0,,,,"",0.09,10.11
117233069,117233070,1050,10ca76e4ca13c09b8106a36715c968786546dc78,java,ok,0,java-maven,junit,true,false,4200,0,4200,0,,,,"",145.97999999999993,354
117234821,117234822,1051,2785f6915b9d7ee90f3de3f4b3918c3c65ff9f56,java,ok,1,java-maven,junit,true,false,4209,0,4209,0,,,,"",127.23000000000006,309
117253063,117253064,1052,95e6a6705670a482d706dc64fef96906f5a1cc71,java,ok,1,java-maven,junit,true,false,4209,0,4209,0,,,,"",152.14000000000004,368
