tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
98831313,98831314,1000,e4fd38678c9f49692b06e9d282fd6b3ef10d0381,android,ok,1,plain,"",false,,,,,,,,,"",,
98838921,98838922,1001,84ad4c958abfab22d0ad68e1a6c7b8ddea400bd4,android,broken,0,plain,"",false,,,,,,,,,"",,
98839462,98839463,1002,589efac5fd66aaf2c91028d66f946329138002fd,android,broken,1,plain,"",false,,,,,,,,,"",,
98839479,98839480,1003,9fefe5f05fba5b0ed10fb132779e5ca21a681ee4,android,broken,0,plain,"",false,,,,,,,,,"",,
98839763,98839764,1004,09e4282cdc73028f71afa1e44ce69aea56dfd253,android,broken,0,plain,"",false,,,,,,,,,"",,
98839765,98839766,1005,deb3d8f54526ac397a7fdcb3426abb089d72af62,android,broken,0,plain,"",false,,,,,,,,,"",,
98840626,98840627,1006,376f1f4afc3d9f89c73ee8a289f8afae94619456,android,ok,1,plain,"",false,,,,,,,,,"",,
98840640,98840641,1007,223a23d402420cb18e5914e8469042f480d32401,android,ok,0,plain,"",false,,,,,,,,,"",,
98840970,98840971,1008,40cb95fc0a21532eb04d38594438ae30d585413e,android,broken,1,plain,"",false,,,,,,,,,"",,
98840972,98840973,1009,9314adc25795fa2989e0d35fa9a1c694272ce822,android,broken,0,plain,"",false,,,,,,,,,"",,
2957337,2957338,100,b188fbefef7df6fc5124086293aa85b1b7c27387,unknown,unknown,,plain,"",false,,,,,,,,,"",,
98841027,98841028,1010,87247fb8d9a59f471757e7e567b382946bb29d67,android,ok,0,plain,"",false,,,,,,,,,"",,
98841029,98841030,1011,3f6515ea356764bd306f9dbbffc3e13c7ea96e97,android,ok,0,plain,"",false,,,,,,,,,"",,
98841068,98841069,1012,3c7a5aaa586fa02184d6d9243406a4b59cefb9b5,android,ok,0,plain,"",false,,,,,,,,,"",,
98841077,98841078,1013,1b7d65b51158738e450ff199fa9ef99ccb0d8d3f,android,ok,0,plain,"",false,,,,,,,,,"",,
98841267,98841268,1014,4f23e494a14bbe8ac8eecc44fa97f674f3d05108,android,broken,0,plain,"",false,,,,,,,,,"",,
98841269,98841270,1015,e5bd8a9adfedf7709ff6f45985d8f8e17d718898,android,broken,0,plain,"",false,,,,,,,,,"",,
98842204,98842205,1016,521a9391e2b84bec259dbff9d9c099a2629b4404,android,broken,0,plain,"",false,,,,,,,,,"",,
98842206,98842207,1017,46bee10c993763b481d5cfe44f1231b9717c5655,android,broken,0,plain,"",false,,,,,,,,,"",,
98842500,98842501,1018,28945f3cbd7bb1d2536ff8c8c89f4839f9c30ada,android,ok,0,plain,"",false,,,,,,,,,"",,
98842502,98842503,1019,4bb334b10ce5764bab1d2e7555025fd65c003bcf,android,ok,0,plain,"",false,,,,,,,,,"",,
2957343,2957344,101,dd6e9c315a178871099c41d8288f9bd446d9401a,unknown,unknown,,plain,"",false,,,,,,,,,"",,
