build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
129033447,2913739af9b92c39cfb03986a5c4ca7ccdf6122d,,master,passed,352,2016-05-10 04:01:04 UTC,129033448,push
129033445,e56b39bd6f460d5b35e2a7c22a6d8156b4209c49,,dagger-parent-1.2.5,passed,241,2016-05-10 04:01:04 UTC,129033446,push
129033438,e56b39bd6f460d5b35e2a7c22a6d8156b4209c49,,master,passed,240,2016-05-10 04:01:04 UTC,129033439,push
128975480,e545372626a926993f9db771b5f1a5cc893181cf,,master,passed,424,2016-05-09 21:40:30 UTC,128975481,push
128548333,597af35d4202182b79ab3fe9c2f90ad58f99103a,532,master,passed,308,2016-05-07 18:49:31 UTC,128548334,pull_request
127591523,290187a539da1f68a3becc89c810db327110e284,,master,passed,455,2016-05-03 18:15:34 UTC,127591524,push
127591395,8e4eb744381f0cbd4fd6a9ed427a74f64703f1d0,530,master,passed,315,2016-05-03 18:14:49 UTC,127591396,pull_request
127559043,c13f4b1283f454de3809d606b04a5672ac7589ed,,master,passed,415,2016-05-03 16:06:52 UTC,127559047,push
127558987,62df753dc77f292934772190794a45582e70a106,,dagger-parent-1.2.4,passed,292,2016-05-03 16:06:52 UTC,127558993,push
127558966,62df753dc77f292934772190794a45582e70a106,,master,passed,405,2016-05-03 16:06:52 UTC,127558967,push
127393358,c8fdb3d5a9daf5401aa4a8c80000a16d8a552293,,master,passed,385,2016-05-03 01:26:17 UTC,127393359,push
127393354,2c2927701f84599a8b243de1c1c8931e5182c604,,dagger-parent-1.2.3,passed,272,2016-05-03 01:26:16 UTC,127393355,push
127393352,2c2927701f84599a8b243de1c1c8931e5182c604,,master,passed,284,2016-05-03 01:26:09 UTC,127393353,push
127376691,f6f3ef98cc6eab8607dcbcb6f5bc975c15094069,,master,passed,397,2016-05-03 00:12:41 UTC,127376692,push
127376496,267e19f5d850d29f4986988e09d7cd4393659618,,master,passed,485,2016-05-03 00:11:41 UTC,127376497,push
127372025,dcf4a007ba3746fbe81227a2f1a2a8d4721da4f9,529,master,passed,330,2016-05-02 23:48:50 UTC,127372026,pull_request
127371868,aa273810cc96a38309d397313d04d9d12a5c0317,,jw/latest-javapoet,passed,306,2016-05-02 23:48:19 UTC,127371869,push
127363584,e55ef5371f54d4775ef530674f11c6b887a43e8f,528,master,passed,336,2016-05-02 23:00:59 UTC,127363585,pull_request
127363515,7fd458a32dd9041da19bf7fcafd97e6d01e3f06e,,jw/revert-api-changes,passed,372,2016-05-02 23:01:00 UTC,127363516,push
117627744,1a5b3623c160bacd6182c2a6d3d3e4cf65bdefff,,master,passed,357,2016-03-22 04:04:27 UTC,117627745,push
117621623,5904ce0dadaa21c2cfa26b7c77c6d84f94dadaaa,524,master,passed,408,2016-03-22 03:07:01 UTC,117621624,pull_request
117621552,ee1cfa9b3c5f02bd0a41d461a5a4a3fa83ca1736,,jw/skip-it-tests-on-deploy,passed,397,2016-03-22 03:06:43 UTC,117621553,push
105867665,51456445738b77b4f3f995ccc2307dd051b0cf95,,master,passed,392,2016-01-30 12:11:50 UTC,105867666,push
105855197,543e32bbea4193da5f6193336000c925590366c3,517,master,passed,241,2016-01-30 09:59:43 UTC,105855198,pull_request
104746515,3cd51bbab94af10782cf3352e0bb712eeb3ef4cf,,master,passed,414,2016-01-25 21:27:00 UTC,104746516,push
104745054,69ea7f5e9097ba382f5c6cc3d894e36c7e054f51,516,master,passed,297,2016-01-25 21:22:06 UTC,104745055,pull_request
99059969,d3a8c58712935c5922a87bf413f98b4d7cc32bdb,,master,passed,402,2015-12-28 07:19:34 UTC,99059970,push
99059474,bc2022f672bf6a203290e1af8cfff75bbfdb593a,515,master,passed,253,2015-12-28 07:10:52 UTC,99059475,pull_request
99059472,3394840dbc1988ab69baf400b781b59384d7da26,,jw/mindless-refactoring,passed,230,2015-12-28 07:09:29 UTC,99059473,push
99032705,588034a1c33306bf8ffd845ad7d51f4cf233e7de,515,master,passed,260,2015-12-28 00:15:00 UTC,99032706,pull_request
99032685,b5527d6671e55e765be8ba6da1648f02fa37490a,,jw/mindless-refactoring,passed,253,2015-12-28 00:14:42 UTC,99032686,push
98987167,1d72d65b3d8546c22960ff184c8343fdc58dc03d,,master,passed,389,2015-12-27 16:34:21 UTC,98987168,push
98987016,0494268e125170d1c9110559c06b34eeac42eec5,,master,passed,438,2015-12-27 16:33:05 UTC,98987017,push
98938034,b606cb30155202551b82705772a470e7b4d90bf7,514,master,passed,326,2015-12-27 05:23:00 UTC,98938035,pull_request
98938032,9f9db79ce827d0e40576dfcb46f4ce593e173f92,,jw/fail-on-dups,passed,240,2015-12-27 05:22:59 UTC,98938033,push
98937986,8268aab590a679dfccf644682f8ee81c8671bda2,514,master,passed,313,2015-12-27 05:22:22 UTC,98937987,pull_request
98937966,17704430f9bc44ded6dd769a3e40d53d50997a94,,jw/fail-on-dups,passed,234,2015-12-27 05:22:06 UTC,98937967,push
98935650,5c14b34ba2d60b2aec49044a16d9debbeb702833,512,master,passed,228,2015-12-27 04:37:47 UTC,98935651,pull_request
98935623,2fb7a02a5c40fc27be5dc67abd722c86e129eb31,,jw/unused,passed,281,2015-12-27 04:37:27 UTC,98935624,push
98933634,ee2b469accd32e63405d3635d480cac45ba8b21a,,master,passed,403,2015-12-27 03:51:43 UTC,98933635,push
98933485,9302afc7b3de5c6fafac01ffe0d3e252f7d9cdfa,511,master,passed,258,2015-12-27 03:46:57 UTC,98933486,pull_request
98933361,10e24e7db63a4e14f2f564ff95c1c8475d8a2e1b,,jw/remove-java-five,passed,247,2015-12-27 03:44:21 UTC,98933362,push
98893948,4b21ed077ad65613b415aa0fdb9cbc806f8ad427,,master,passed,382,2015-12-26 18:29:28 UTC,98893949,push
98893908,c7f1d6ec80afb2de42c2c3b5092ceff6139ac617,,master,passed,368,2015-12-26 18:28:48 UTC,98893909,push
98843167,ad19fbbac7b8de3792b09c3a905786431c793976,510,master,passed,252,2015-12-26 06:37:12 UTC,98843168,pull_request
98843156,461dc69cf0b624dfd988963b328a2063039f20e0,,jw/next-version,passed,311,2015-12-26 06:37:00 UTC,98843157,push
98842502,4bb334b10ce5764bab1d2e7555025fd65c003bcf,508,master,passed,241,2015-12-26 06:19:14 UTC,98842503,pull_request
98842500,28945f3cbd7bb1d2536ff8c8c89f4839f9c30ada,,jw/remove-implicit-construction-assumption,passed,250,2015-12-26 06:19:14 UTC,98842501,push
98842206,46bee10c993763b481d5cfe44f1231b9717c5655,508,master,failed,213,2015-12-26 06:13:12 UTC,98842207,pull_request
98842204,521a9391e2b84bec259dbff9d9c099a2629b4404,,jw/remove-implicit-construction-assumption,failed,247,2015-12-26 06:13:10 UTC,98842205,push
98841269,e5bd8a9adfedf7709ff6f45985d8f8e17d718898,508,master,failed,89,2015-12-26 05:54:29 UTC,98841270,pull_request
98841267,4f23e494a14bbe8ac8eecc44fa97f674f3d05108,,jw/remove-implicit-construction-assumption,failed,81,2015-12-26 05:54:26 UTC,98841268,push
98841077,1b7d65b51158738e450ff199fa9ef99ccb0d8d3f,509,master,passed,299,2015-12-26 05:50:27 UTC,98841078,pull_request
98841068,3c7a5aaa586fa02184d6d9243406a4b59cefb9b5,,jw/remove-runtime-static-injection,passed,288,2015-12-26 05:50:35 UTC,98841069,push
98841029,3f6515ea356764bd306f9dbbffc3e13c7ea96e97,,jw/remove-runtime-static-injection,passed,256,2015-12-26 05:49:56 UTC,98841030,push
98841027,87247fb8d9a59f471757e7e567b382946bb29d67,509,master,passed,301,2015-12-26 05:49:52 UTC,98841028,pull_request
98840972,9314adc25795fa2989e0d35fa9a1c694272ce822,508,master,failed,78,2015-12-26 05:49:02 UTC,98840973,pull_request
98840970,40cb95fc0a21532eb04d38594438ae30d585413e,,jw/remove-implicit-construction-assumption,failed,80,2015-12-26 05:49:03 UTC,98840971,push
98840640,223a23d402420cb18e5914e8469042f480d32401,509,master,passed,333,2015-12-26 05:42:58 UTC,98840641,pull_request
98840626,376f1f4afc3d9f89c73ee8a289f8afae94619456,,jw/remove-runtime-static-injection,passed,262,2015-12-26 05:42:41 UTC,98840627,push
98839765,deb3d8f54526ac397a7fdcb3426abb089d72af62,508,master,failed,340,2015-12-26 05:26:16 UTC,98839766,pull_request
98839763,09e4282cdc73028f71afa1e44ce69aea56dfd253,,jw/remove-implicit-construction-assumption,failed,209,2015-12-26 05:26:16 UTC,98839764,push
98839479,9fefe5f05fba5b0ed10fb132779e5ca21a681ee4,508,master,failed,88,2015-12-26 05:20:39 UTC,98839480,pull_request
98839462,589efac5fd66aaf2c91028d66f946329138002fd,,jw/remove-implicit-construction-assumption,failed,87,2015-12-26 05:20:31 UTC,98839463,push
98838921,84ad4c958abfab22d0ad68e1a6c7b8ddea400bd4,,jw/remove-implicit-construction-assumption,failed,84,2015-12-26 05:10:16 UTC,98838922,push
98831313,e4fd38678c9f49692b06e9d282fd6b3ef10d0381,,master,passed,442,2015-12-26 02:35:48 UTC,98831314,push
98830853,c6defc19348d8949128681cdec368828382d1a5c,507,master,passed,253,2015-12-26 02:23:01 UTC,98830854,pull_request
98830849,3e4632b63fdab855803ce97086181993b26fbb12,,jw/remove-static-injection,passed,291,2015-12-26 02:23:00 UTC,98830851,push
98825992,0fa4c852bf000427209f89a12394f206f6d3ac4b,507,master,passed,249,2015-12-26 01:00:14 UTC,98825993,pull_request
98825982,6649a3958dc7b6d210e01318a7141cfeaa99b5d5,,jw/remove-static-injection,passed,282,2015-12-26 01:00:15 UTC,98825983,push
98824784,da7cef104bcfb857b45b97a068de703c76f9ffa9,507,master,passed,283,2015-12-26 00:39:03 UTC,98824785,pull_request
98824708,7821ff8f82e6f08957ce5c488e25f310b79a72b5,,jw/remove-static-injection,passed,226,2015-12-26 00:37:25 UTC,98824709,push
98824221,bc1227c4722250419a7fdfde906800cc44cefe58,,master,passed,369,2015-12-26 00:25:55 UTC,98824222,push
98823001,a991e730d3e7410d1eed5612ef7e187b83700a5e,506,master,passed,276,2015-12-26 00:03:33 UTC,98823002,pull_request
98822937,1a0662d8eca7b6e09ea809758af93862fc1cdbfd,,jw/redundant,passed,276,2015-12-26 00:03:08 UTC,98822938,push
98795861,547203e19f2e8ae8ce1e1422a079c946cfe65080,,master,passed,474,2015-12-25 18:04:09 UTC,98795862,push
98745629,50ced128b25a1e1143493255152c5ed743054dfe,504,master,passed,252,2015-12-25 04:27:22 UTC,98745630,pull_request
98745605,4f49dd5dcba3d86a1fc8ba12a14b4604bde4f91a,,jw/nuke-synthetics,passed,297,2015-12-25 04:26:44 UTC,98745607,push
96156415,7e58110c97902f27cd8f0372aff7d2a98524d15f,,master,passed,414,2015-12-10 23:10:08 UTC,96156416,push
96122450,e176765f1f2cfca1e5c63d5136bcb18d97d96534,501,master,passed,309,2015-12-10 20:35:09 UTC,96122451,pull_request
96121138,85fdbf5dc2fb4e14e5699fb0ebae762758249c21,501,master,failed,100,2015-12-10 20:29:24 UTC,96121139,pull_request
95964070,0ebe26dfdcd48925d699c17822e7b221b80fada6,501,master,failed,97,2015-12-10 05:31:01 UTC,95964071,pull_request
91445267,c4b6b873419df2fd9c379b4c8df949c5da2a3c50,,master,passed,546,2015-11-16 19:13:54 UTC,91445268,push
91412090,3bb86aa5e737e62ce107de06dbd2494d076d9621,499,master,passed,294,2015-11-16 16:44:20 UTC,91412092,pull_request
