tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
50850852,50850853,1000,ffdfcf4b29d11f2c25a6a08e493a570912747bc7,android,ok,0,plain,"",false,,,,,,,,,"",,
50850852,50850854,1000,ffdfcf4b29d11f2c25a6a08e493a570912747bc7,android,ok,0,plain,"",false,,,,,,,,,"",,
50859656,50859657,1001,01d64959899366e15cf4044f0e56b9ca6e660cff,android,ok,0,plain,"",false,,,,,,,,,"",,
50859656,50859658,1001,01d64959899366e15cf4044f0e56b9ca6e660cff,android,ok,0,plain,"",false,,,,,,,,,"",,
50908989,50908990,1002,784f2a0477a30e1cc86e4d40a3da703cf9c5f444,android,unknown,3,plain,"",false,,,,,,,,,"",,
50908989,50908991,1002,784f2a0477a30e1cc86e4d40a3da703cf9c5f444,android,unknown,3,plain,"",false,,,,,,,,,"",,
50909083,50909084,1003,7d95ae0ba43053f57be7cf0c684ee5f457349077,android,ok,0,plain,"",false,,,,,,,,,"",,
50909083,50909085,1003,7d95ae0ba43053f57be7cf0c684ee5f457349077,android,ok,0,plain,"",false,,,,,,,,,"",,
50975501,50975502,1004,e12fcd688c4232c7998138fbd1e21f5b20130a4c,android,broken,0,plain,"",false,,,,,,,,,"",,
50975501,50975503,1004,e12fcd688c4232c7998138fbd1e21f5b20130a4c,android,broken,1,plain,"",false,,,,,,,,,"",,
50975567,50975568,1005,540635bb6cec071f779fdc94db7871d0414964b6,android,broken,0,plain,"",false,,,,,,,,,"",,
50975567,50975569,1005,540635bb6cec071f779fdc94db7871d0414964b6,android,broken,0,plain,"",false,,,,,,,,,"",,
50975918,50975919,1006,b8f15a0ccef5e88ee0b28d128fcc1caa28ea108a,android,broken,0,plain,"",false,,,,,,,,,"",,
50975918,50975920,1006,b8f15a0ccef5e88ee0b28d128fcc1caa28ea108a,android,broken,0,plain,"",false,,,,,,,,,"",,
50975996,50975997,1007,0dc4317b3e83501212a816c6d233f216428dbf84,android,broken,0,plain,"",false,,,,,,,,,"",,
50975996,50975998,1007,0dc4317b3e83501212a816c6d233f216428dbf84,android,broken,0,plain,"",false,,,,,,,,,"",,
51658369,51658370,1008,ac33ca8f2451b28b9a48b52fd96a705b5185a7f8,android,ok,0,plain,"",false,,,,,,,,,"",,
51658369,51658371,1008,ac33ca8f2451b28b9a48b52fd96a705b5185a7f8,android,ok,0,plain,"",false,,,,,,,,,"",,
51677314,51677315,1009,e3d915d5877390d26c60d6c93aee8e1314ddc652,android,ok,0,plain,"",false,,,,,,,,,"",,
51677314,51677316,1009,e3d915d5877390d26c60d6c93aee8e1314ddc652,android,ok,0,plain,"",false,,,,,,,,,"",,
18179246,18179247,100,b0b5a93ba3191b6262d278d9580a4448f41b182c,java,ok,,java-maven,junit,true,false,181,0,181,0,,,,"",23.780000000000005,
51677481,51677482,1010,a6aafcc3ba90b64fb9208962fa17870fed4e1756,android,ok,0,plain,"",false,,,,,,,,,"",,
51677481,51677483,1010,a6aafcc3ba90b64fb9208962fa17870fed4e1756,android,ok,0,plain,"",false,,,,,,,,,"",,
51744910,51744911,1011,7d95ae0ba43053f57be7cf0c684ee5f457349077,android,ok,0,plain,"",false,,,,,,,,,"",,
51744910,51744912,1011,7d95ae0ba43053f57be7cf0c684ee5f457349077,android,ok,0,plain,"",false,,,,,,,,,"",,
51856989,51856993,1012,7d95ae0ba43053f57be7cf0c684ee5f457349077,android,ok,0,plain,"",false,,,,,,,,,"",,
51856989,51856994,1012,7d95ae0ba43053f57be7cf0c684ee5f457349077,android,ok,0,plain,"",false,,,,,,,,,"",,
51857014,51857015,1013,a7eed6b2d25a6c9c09cfaca4f4cbd3c51f44aa43,android,unknown,0,plain,"",false,,,,,,,,,"",,
