tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
16960848,16960849,1000,04cd7e4d1ad7c12c32f17ec044bc6290fa4803e1,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",5.34,
16960871,16960872,1001,9750f0045670fbd7494de43fdda1139349b84156,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",6.58,
17264060,17264061,1002,c75daac8bd65ea6c9f3c628ede4fe830001ba143,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",4.699999999999999,
17264631,17264632,1003,ce5f5ae2921960d5c8f5e11757f527261ba144df,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",5.250000000000001,
17389754,17389755,1004,6ca198487313be7fbccd9480917e290d56df819e,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",4.73,
17423635,17423636,1005,120beb9215a53eae190c0d351126b54fa1a9584f,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",5.88,
17475641,17475642,1006,d45d7f47ea1c54d68a0ae3417e50003036584e5a,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",5.59,
17496221,17496222,1007,c1fda4d4d3423baaaf946ba9dd9ab0e3e3256f58,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",4.9399999999999995,
17497712,17497713,1008,3c750a669966470c663165105ad3e01a6fc2bc39,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",9.32,
17497950,17497951,1009,33377161e530b411a9ac74b7cfaffa4614650eeb,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",5.9,
2944556,2944557,100,72cc4305850aac1c540eae4b5d2fbda037195e21,unknown,unknown,,plain,"",false,,,,,,,,,"",,
17503895,17503896,1010,f42fdbe7d256bbfa52f9a76bed2fa1ee8b100e70,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
17505698,17505699,1011,c3387a228206509fdef08c37528a83e8e4357067,java,ok,,java-maven,junit,true,false,183,0,183,0,,,,"",4.970000000000001,
17513627,17513628,1012,59fd4b7c2e92758aff2a7ea720dddd12a36d13bb,java,ok,,java-maven,junit,true,false,184,0,184,0,,,,"",4.94,
17514460,17514461,1013,89cbb377bacf2980439bb3cd084c176131b9a07b,java,ok,,java-maven,junit,true,false,184,0,184,0,,,,"",4.960000000000001,
17515797,17515798,1014,fe7df91979ae057addd80963a53536cb523f16cf,java,ok,,java-maven,junit,true,false,184,0,184,0,,,,"",6.74,
