build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
156519025,f2025a3b79e5a9bfd28a62a8002e5a76ae2e13ac,2003,master,passed,226,2016-08-31 13:34:39 UTC,156519026,pull_request
155700648,ecb41fad4691b3d032c8ace285f3c9a1dcdfbe10,1996,master,passed,175,2016-08-28 09:00:47 UTC,155700649,pull_request
155699872,0ec77d5cc5d980554322b6a0b6a3e3a86fe6bc27,1996,master,errored,114,2016-08-28 08:51:38 UTC,155699873,pull_request
155699574,7973fbf0440078a2ab2f52c359e6fff4e5c9e14e,1996,master,errored,131,2016-08-28 08:47:37 UTC,155699575,pull_request
155698260,65102cd9a96c97f0e8d8b676a316c6314e97b5c2,1996,master,errored,130,2016-08-28 08:32:26 UTC,155698261,pull_request
155694958,bc18e9ce1315b29a5c35f4276ebd33f9290e66e7,1996,master,errored,141,2016-08-28 07:58:32 UTC,155694959,pull_request
153943613,34eb99f46c9f8312563bbcf07345b4ed5354f6ca,,master,passed,277,2016-08-21 14:54:30 UTC,153943614,push
153888215,fb6dff8249660c95f7526618c957a31dde5d4beb,1986,master,passed,172,2016-08-21 06:03:49 UTC,153888216,pull_request
153888167,240e3cdf6822a2fb0514cae4758822780d559359,,jw/throw-fatal,passed,170,2016-08-21 06:03:13 UTC,153888168,push
153870016,e02fb37616277cf19eed0d2fabc6e9aae61c0f01,,master,passed,276,2016-08-21 01:33:40 UTC,153870017,push
153869459,674d12f834b3aaca59a71918479e4bbc578b6919,1984,master,passed,148,2016-08-21 01:21:45 UTC,153869460,pull_request
153869427,8737e46f2b3944ca316f2174d1f83e28ed6e66f0,,jw/to-string,passed,128,2016-08-21 01:21:21 UTC,153869428,push
153795089,5d87e5c18ede964adc3d1fdc3366111e9baba1cc,,master,passed,296,2016-08-20 14:46:02 UTC,153795090,push
153463496,7b72347e4875c24ef19eef47ba1608d930695e01,1981,master,passed,149,2016-08-19 04:16:04 UTC,153463497,pull_request
153463423,504dd092bc0c77e4e280c840bef4c9fd7f2efd0b,,jw/rex,passed,167,2016-08-19 04:15:13 UTC,153463424,push
153463331,a556e9d79fa8712b6ec0fa0b11250060ca7b1063,,master,passed,306,2016-08-19 04:14:13 UTC,153463332,push
153462878,b29d603847c949e6c53602b4aad130f2385b9a7b,1980,master,passed,162,2016-08-19 04:10:21 UTC,153462879,pull_request
153462868,eccfe208bcb7c54d357c60842aa6e33cc15424cd,,jw/rex,passed,137,2016-08-19 04:10:20 UTC,153462869,push
153462491,bd0e4058322ae135667748dcaac16525b6b3bf8b,1980,master,passed,139,2016-08-19 04:08:15 UTC,153462492,pull_request
